Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hardcode,Extract layout name,Position,Level,Mapping Logic,COMMENTS,PIEDMONT
2300,2300.HI20.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,PROCEDURE_21_DATE,301,Claim,,,
2300,2300.HI21,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI21.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"BBQ International Classification of Diseases Clinical Modification (ICD-10-PCS) Other Procedure Codes
BQ International Classification of Diseases Clinical
Modification (ICD-9-CM) Other Procedure Codes","Hardcode as ""BBQ""",,,,,,
2300,2300.HI21.02,Industry Code,Code indicating a code from a specific industry code list,R,,,PROCEDURE_22,303,Claim,,,
2300,2300.HI21.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2300,2300.HI21.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,PROCEDURE_22_DATE,304,Claim,,,
2300,2300.HI22,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI22.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"BBQ International Classification of Diseases Clinical Modification (ICD-10-PCS) Other Procedure Codes
BQ International Classification of Diseases Clinical
Modification (ICD-9-CM) Other Procedure Codes","Hardcode as ""BBQ""",,,,,,
2300,2300.HI22.02,Industry Code,Code indicating a code from a specific industry code list,R,,,PROCEDURE_23,306,Claim,,,
2300,2300.HI22.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2300,2300.HI22.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,PROCEDURE_23_DATE,307,Claim,,,
2300,2300.HI23,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI23.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"BBQ International Classification of Diseases Clinical Modification (ICD-10-PCS) Other Procedure Codes
BQ International Classification of Diseases Clinical
Modification (ICD-9-CM) Other Procedure Codes","Hardcode as ""BBQ""",,,,,,
2300,2300.HI23.02,Industry Code,Code indicating a code from a specific industry code list,R,,,PROCEDURE_24,309,Claim,,,
2300,2300.HI23.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2300,2300.HI23.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,PROCEDURE_24_DATE,310,Claim,,,
2300,2300.HI24,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI24.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"BBQ International Classification of Diseases Clinical Modification (ICD-10-PCS) Other Procedure Codes
BQ International Classification of Diseases Clinical
Modification (ICD-9-CM) Other Procedure Codes","Hardcode as ""BBQ""",,,,,,
2300,2300.HI24.02,Industry Code,Code indicating a code from a specific industry code list,R,,,PROCEDURE_25,312,Claim,,,
2300,2300.HI24.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2300,2300.HI24.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,PROCEDURE_25_DATE,313,Claim,,,
2300,HI,Occurrence Span Information - Segment Repeat: 2,,S,,,,,,,,
2300,2300.HI01,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",R,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_01,593,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode
2300,2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_01  + OCCUR_SPAN_TO_DATE_01,594+595,Claim,,,"ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate ""-""
ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate"
2300,2300.HI02,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI02.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI02.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_02,596,Claim,,,
2300,2300.HI02.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI02.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_02  + OCCUR_SPAN_TO_DATE_02,597+598,Claim,,,
2300,2300.HI03,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI03.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI03.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_03,599,Claim,,,
2300,2300.HI03.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI03.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_03  + OCCUR_SPAN_TO_DATE_03,600+601,Claim,,,
2300,2300.HI04,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI04.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI04.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_04,602,Claim,,,
2300,2300.HI04.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI04.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_04  + OCCUR_SPAN_TO_DATE_04,603+604,Claim,,,
2300,2300.HI05,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI05.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI05.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_05,605,Claim,,,
2300,2300.HI05.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI05.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_05  + OCCUR_SPAN_TO_DATE_05,606+607,Claim,,,
2300,2300.HI06,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI06.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI06.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_06,608,Claim,,,
2300,2300.HI06.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI06.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_06  + OCCUR_SPAN_TO_DATE_06,609+610,Claim,,,
2300,2300.HI07,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI07.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI07.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_07,611,Claim,,,
2300,2300.HI07.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI07.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_07  + OCCUR_SPAN_TO_DATE_07,612+613,Claim,,,
2300,2300.HI08,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI08.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI08.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_08,614,Claim,,,
2300,2300.HI08.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI08.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_08  + OCCUR_SPAN_TO_DATE_08,615+616,Claim,,,
2300,2300.HI09,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI09.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI09.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_09,617,Claim,,,
2300,2300.HI09.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI09.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_09  + OCCUR_SPAN_TO_DATE_09,618+619,Claim,,,
2300,2300.HI10,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI10.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI10.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_10,620,Claim,,,
2300,2300.HI10.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI10.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_10  + OCCUR_SPAN_TO_DATE_10,621+622,Claim,,,
2300,2300.HI11,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI11.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI11.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_11,623,Claim,,,
2300,2300.HI11.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI11.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_11  + OCCUR_SPAN_TO_DATE_11,624+625,Claim,,,
2300,2300.HI12,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI12.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI12.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_12,626,Claim,,,
2300,2300.HI12.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI12.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_12  + OCCUR_SPAN_TO_DATE_12,627+628,Claim,,,
2300,2300.HI13,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI13.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI13.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_13,629,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode
2300,2300.HI13.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI13.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_13  + OCCUR_SPAN_TO_DATE_13,630+631,Claim,,,"ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate ""-""
ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate"
2300,2300.HI14,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI14.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI14.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_14,632,Claim,,,
2300,2300.HI14.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI14.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_14  + OCCUR_SPAN_TO_DATE_14,633+634,Claim,,,
2300,2300.HI15,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI15.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI15.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_15,635,Claim,,,
2300,2300.HI15.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI15.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_15  + OCCUR_SPAN_TO_DATE_15,636+637,Claim,,,
2300,2300.HI16,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI16.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI16.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_16,638,Claim,,,
2300,2300.HI16.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI16.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_16  + OCCUR_SPAN_TO_DATE_16,639+640,Claim,,,
2300,2300.HI17,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI17.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI17.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_17,641,Claim,,,
2300,2300.HI17.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI17.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_17  + OCCUR_SPAN_TO_DATE_17,642+643,Claim,,,
2300,2300.HI18,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI18.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI18.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_18,644,Claim,,,
2300,2300.HI18.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI18.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_18  + OCCUR_SPAN_TO_DATE_18,645+646,Claim,,,
2300,2300.HI19,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI19.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI19.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_19,647,Claim,,,
2300,2300.HI19.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI19.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_19  + OCCUR_SPAN_TO_DATE_19,648+649,Claim,,,
2300,2300.HI20,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI20.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI20.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_20,650,Claim,,,
2300,2300.HI20.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI20.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_20  + OCCUR_SPAN_TO_DATE_20,651+652,Claim,,,
2300,2300.HI21,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI21.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI21.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_21,653,Claim,,,
2300,2300.HI21.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI21.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_21  + OCCUR_SPAN_TO_DATE_21,654+655,Claim,,,
2300,2300.HI22,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI22.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI22.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_22,656,Claim,,,
2300,2300.HI22.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI22.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_22  + OCCUR_SPAN_TO_DATE_22,657+658,Claim,,,
2300,2300.HI23,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI23.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI23.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_23,659,Claim,,,
2300,2300.HI23.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI23.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_23  + OCCUR_SPAN_TO_DATE_23,660+661,Claim,,,
2300,2300.HI24,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI24.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BI Occurrence Span,"Hardcode as ""BI""",,,,,,
2300,2300.HI24.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_SPAN_CODE_24,662,Claim,,,
2300,2300.HI24.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8 Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD,"Hardcode as ""RD8""",,,,,,
2300,2300.HI24.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_SPAN_FROM_DATE_24  + OCCUR_SPAN_TO_DATE_24,663+664,Claim,,,
2300,HI,Occurrence Information-Segment Repeat: 2,,S,,,,,,,,
2300,2300.HI01,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",R,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BH Occurrence,"Hardcode as ""BH""",,,,,,
2300,2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_CODE_01,665,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode
2300,2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2300,2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_DATE_01,666,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate
2300,2300.HI02,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI02.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BH Occurrence,"Hardcode as ""BH""",,,,,,
2300,2300.HI02.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_CODE_02,667,Claim,,,
2300,2300.HI02.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2300,2300.HI02.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_DATE_02,668,Claim,,,
2300,2300.HI03,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI03.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BH Occurrence,"Hardcode as ""BH""",,,,,,
2300,2300.HI03.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_CODE_03,669,Claim,,,
2300,2300.HI03.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2300,2300.HI03.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_DATE_03,670,Claim,,,
2300,2300.HI04,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI04.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BH Occurrence,"Hardcode as ""BH""",,,,,,
2300,2300.HI04.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_CODE_04,671,Claim,,,
2300,2300.HI04.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2300,2300.HI04.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_DATE_04,672,Claim,,,
2300,2300.HI05,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI05.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BH Occurrence,"Hardcode as ""BH""",,,,,,
2300,2300.HI05.02,Industry Code,Code indicating a code from a specific industry code list,R,,,OCCUR_CODE_05,673,Claim,,,
2300,2300.HI05.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2300,2300.HI05.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,OCCUR_DATE_05,674,Claim,,,
