Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,USAGE,Enumeration Values,CDS Field Name / Hardcode,Extract layout name,Position,Level,Mapping Logic,Cuztomization,Comments,PIEDMONT,
2010CA,2010CA.PER03,Communication Number Qualifier,,,TE Telephone,,,,,,,,,
2010CA,2010CA.PER04,Communication Number,,,,,,,,,,,,
2010CA,2010CA.PER05,Communication Number Qualifier,,,EX Telephone Extension,,,,,,,,,
2010CA,2010CA.PER06,Communication Number,,,,,,,,,,,,
LOOP 2300- Required,,,,,,,,,,,,,,
2300,CLM,Claim Information (Required),,R,,,,,,,,,,
2300,2300.CLM01,Claim Submitter's Identifier,Identifier used to track a claim from creation by the health care provider through payment,R,,PATIENT_CONTROL_NUM,PATIENT_CONTROL_NUM,11,Claim,,,,,
2300,2300.CLM02,Monetary Amount,Monetary amount,R,,CLAIM_BILLED_AMOUNT,CLAIM_BILLED_AMOUNT,208,Claim,,,,,
2300,2300.CLM05.01,Facility Code Value,"Code identifying where services were, or may be, performed; the first and second positions of the Uniform Bill Type Code for Institutional Services or the Place of Service Codes for Professional or Dental Services.",R,,POS_ID,PLACE_OF_SERVICE,144,Line,,,,,
2300,2300.CLM05.02,Facility Code Qualifier,Code identifying the type of facility referenced,R,B : Place of Service Codes for Professional or Dental Services,"Hardcode as ""B""",,,,,,,,
2300,2300.CLM05.03,Claim Frequency Type Code,Code specifying the frequency of the claim; this is the third position of the Uniform Billing Claim Form Bill Type,R,,CLAIM_FREQUENCY_CODE,CLAIM_FREQUENCY_CODE,426,Claim,,,,,
2300,2300.CLM06,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"N No
Y Yes",PROVIDER_SIGNATURE_PRESENT,PROVIDER_SIGNATURE_PRESENT,504,Claim,,,,,
2300,2300.CLM07,Provider Accept Assignment Code,Code indicating whether the provider accepts assignment,R,"A Assigned
B Assignment Accepted on Clinical Lab Services Only
C Not Assigned",ASSIGNMENT_ACCEPTANCE,ASSIGNMENT_ACCEPTANCE,505,Claim,"If the 2300.CLM07 Enumuration Value is ""A"" display ""Y""
If the 2300.CLM07 Enumuration Value is ""C"" display ""N""",,"""Y"" and ""N"" are the valid values. So the below logic to be followed
Maps assignment acceptance as ""Y"" for ""A"" and ""N"" for ""C""
if(Fields[4] == ""A"")
{
	Fields[4] = ""Y"";
}
else if (Fields[4] == ""C"")
{
	Fields[4] = ""N"";
}",,
2300,2300.CLM08,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"N No
W Not Applicable
Y Yes",ASSIGNMENT_OF_BENEFITS,ASSIGNMENT_OF_BENEFITS,207,Claim,,,,,
2300,2300.CLM09,Release of Information Code,Code indicating whether the provider has on file a signed statement by the patient authorizing the release of medical data to other organizations,R,"I Informed Consent to Release Medical Information for Conditions or Diagnoses Regulated by Federal Statutes
Y Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim",INFORMATION_RELEASE,INFORMATION_RELEASE,506,Claim,,,,,
2300,2300.CLM10,Patient Signature Source Code,Code indicating how the patient or subscriber authorization signatures were obtained and how they are being retained by the provider,S,P Signature generated by provider because the patient was not physically present for services,,,,,,,,,
2300,2300.CLM11.01,Related-Causes Code,"Code identifying an accompanying cause of an illness, injury or an acciden",R,"AA Auto Accident
EM Employment
 OA Other Accident",,,,,,,,,
2300,2300.CLM11.02,Related-Causes Code,"Code identifying an accompanying cause of an illness, injury or an
accident",S,,,,,,,,,,
2300,2300.CLM11.04,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,,,,,
2300,2300.CLM11.05,Country Code,Code identifying the country,S,,,,,,,,,,
2300,2300.CLM12,Special Program Code,Code indicating the Special Program under which the services rendered to the patient were performed,S,"02 Physically Handicapped Children’s Program
03 Special Federal Funding
 05 Disability
 09 Second Opinion or Surgery 492 This code is used for Medicaid claims only",,,,,,,,,
2300,2300.CLM20,Delay Reason Code,Code indicating the reason why a request was delayed,S,"1 Proof of Eligibility Unknown or Unavailable
2 Litigation
3 Authorization Delays
4 Delay in Certifying Provider
5 Delay in Supplying Billing Forms
6 Delay in Delivery of Custom-made Appliances
7 Third Party Processing Delay
8 Delay in Eligibility Determination
9 Original Claim Rejected or Denied Due to a Reason Unrelated to the Billing Limitation Rules
10 Administration Delay in the Prior Approval Process
11 Other
15 Natural Disaster",,,,,,,,,
2300,DTP,Onset of Current Illness or Symptom (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Initial Treatment Date (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Last Seen Date (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Acute Manifestation (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Accident (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Last Menstrual Period (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
9,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Last X-ray Date (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Hearing and Vision Prescription Date (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Disability Dates (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Last Worked (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Authorized Return to Work (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,DTP Date - Admission (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Discharge (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Assumed and Relinquished Care Dates (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Property and Casualty Date of First Contact (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,DTP,Repricer Received Date (Situational),,,,,,,,,,,,
2300,2300.DTP01,Date/Time Qualifier,,,,,,,,,,,,
2300,2300.DTP02,Date Time Period Format Qualifier,,,,,,,,,,,,
2300,2300.DTP03,Date Time Period,,,,,,,,,,,,
2300,PWK,Claim Supplemental Information (Situational),,,,,,,,,,,,
2300,2300.PWK01,Report Type Code,,,,,,,,,,,,
2300,2300.PWK02,Report Transmission Code,,,,,,,,,,,,
2300,2300.PWK05,Identification Code Qualifier,,,,,,,,,,,,
2300,2300.PWK06,Identification Code,,,,,,,,,,,,
2300,CN1,Contract Information (Situational),,,,,,,,,,,,
2300,2300.CN101,Contract Type Code,,,,,,,,,,,,
2300,2300.CN102,Monetary Amount,,,,,,,,,,,,
2300,2300.CN103,"Percent, Decimal Format",,,,,,,,,,,,
2300,2300.CN104,Reference Identification,,,,,,,,,,,,
2300,2300.CN105,Terms Discount Percent,,,,,,,,,,,,
2300,2300.CN106,Version Identifier,,,,,,,,,,,,
2300,AMT,Patient Amount Paid (Situational),,,,,,,,,,,,
2300,2300.AMT01,Amount Qualifier Code,,,,,,,,,,,,
2300,2300.AMT02,Monetary Amount,,,,,,,,,,,,
2300,REF,Service Authorization Exception Code (Situational),,,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,,,,,,,,,,,,
2300,2300.REF02,Reference Identification,,,,,,,,,,,,
2300,REF,Mandatory Medicare (Section 4081) Crossover Indicator (Situational),,,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,,,,,,,,,,,,
2300,2300.REF02,Reference Identification,,,,,,,,,,,,
2300,REF,Mammography Certification Number (Situational),,,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,,,,,,,,,,,,
2300,2300.REF02,Reference Identification,,,,,,,,,,,,
2300,REF,Referral Number (Situational),,,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,,,,,,,,,,,,
2300,2300.REF02,Reference Identification,,,,,,,,,,,,
2300,REF,Prior Authorization (Situational),,S,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1 Prior Authorization Number,,,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,,,
2300,REF,Payer Claim Control Number (Situational),,S,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F8 Original Reference Number,"Hardcode as ""F8""",,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,CLAIM_ID_ORIG,CLAIM_ID_ORIG,237,Claim,"Map only for
 void/replacement claims (2300.CLM05.03 = '7' or '8'
Deepthi(30/7):
Map only for replacement claims (2300.CLM05.03 = '7')",,,,
2300,REF,Clinical Laboratory Improvement Amendment (CLIA) Number (Situational),,S,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,,,,,,,,,,,
2300,2300.REF02,Reference Identification,,,,,,,,,,,,
2300,REF,Repriced Claim Number (Situational),,,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,,,,,,,,,,,,
2300,2300.REF02,Reference Identification,,,,,,,,,,,,
2300,REF,Adjusted Repriced Claim Number (Situational),,,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,,,,,,,,,,,,
2300,2300.REF02,Reference Identification,,,,,,,,,,,,
2300,REF,Investigational Device Exemption Number (Situational),,,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,,,,,,,,,,,,
2300,2300.REF02,Reference Identification,,,,,,,,,,,,
2300,REF,Claim Identifier For Transmission Intermediaries (Situational),,S,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,D9 Claim Number,"Hardcode as ""D9""",,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,CLAIM_ID,CLAIM_ID,19,Claim,,,,,
2300,REF,Medical Record Number (Situational),,S,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EA Medical Record Identification Number,"Hardcode as ""EA""",,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,MED_REC_NO,MED_REC_NO,21,Claim,,,,,
2300,REF,Demonstration Project Identifier (Situational),,,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,,,,,,,,,,,,
2300,2300.REF02,Reference Identification,,,,,,,,,,,,
2300,REF,Care Plan Oversight (Situational),,,,,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,,,,,,,,,,,,
2300,2300.REF02,Reference Identification,,,,,,,,,,,,
2300,K3,File Information (Situational),,,,,,,,,,,,
2300,2300.K301,Fixed Format Information,,,,,,,,,,,,
2300,NTE,Claim Note (Situational),,,,,,,,,,,,
2300,2300.NTE01,Note Reference Code,,,,,,,,,,,,
2300,2300.NTE02,Description,,,,,,,,,,,,
2300,CR1,Ambulance Transport Information (Situational),,,,,,,,,,,,
2300,2300.CR101,Unit or Basis for Measurement Code,,,,,,,,,,,,
2300,2300.CR102,Weight,,,,,,,,,,,,
2300,2300.CR104,Ambulance Transport Reason Code,,,,,,,,,,,,
2300,2300.CR105,Unit or Basis for Measurement Code,,,,,,,,,,,,
2300,2300.CR106,Quantity,,,,,,,,,,,,
2300,2300.CR109,Description,,,,,,,,,,,,
2300,2300.CR110,Description,,,,,,,,,,,,
2300,CR2,Spinal Manipulation Service Information (Situational),,,,,,,,,,,,
2300,2300.CR208,Nature of Condition Code,,,,,,,,,,,,
2300,2300.CR210,Description,,,,,,,,,,,,
2300,2300.CR211,Description,,,,,,,,,,,,
2300,CRC,Ambulance Certification (Situational),,,,,,,,,,,,
2300,2300.CRC01,Code Category,,,,,,,,,,,,
2300,2300.CRC02,Yes/No Condition or Response Code,,,,,,,,,,,,
2300,2300.CRC03,Condition Indicator,,,,,,,,,,,,
2300,2300.CRC04,Condition Indicator,,,,,,,,,,,,
2300,2300.CRC05,Condition Indicator,,,,,,,,,,,,
2300,2300.CRC06,Condition Indicator,,,,,,,,,,,,
2300,2300.CRC07,Condition Indicator,,,,,,,,,,,,
2300,CRC,Patient Condition Information: Vision (Situational),,,,,,,,,,,,
2300,2300.CRC01,Code Category,,,,,,,,,,,,
2300,2300.CRC02,Yes/No Condition or Response Code,,,,,,,,,,,,
2300,2300.CRC03,Condition Indicator,,,,,,,,,,,,
2300,2300.CRC04,Condition Indicator,,,,,,,,,,,,
2300,2300.CRC05,Condition Indicator,,,,,,,,,,,,
2300,2300.CRC06,Condition Indicator,,,,,,,,,,,,
2300,2300.CRC07,Condition Indicator,,,,,,,,,,,,
2300,CRC,Homebound Indicator (Situational),,,,,,,,,,,,
2300,2300.CRC01,Code Category,,,,,,,,,,,,
2300,2300.CRC02,Yes/No Condition or Response Code,,,,,,,,,,,,
2300,2300.CRC03,Condition Indicator,,,,,,,,,,,,
2300,CRC,EPSDT Referral (Situational),,,,,,,,,,,,
2300,2300.CRC01,Code Category,,,,,,,,,,,,
2300,2300.CRC02,Yes/No Condition or Response Code,,,,,,,,,,,,
2300,2300.CRC03,Condition Indicator,,,,,,,,,,,,
2300,2300.CRC04,Condition Indicator,,,,,,,,,,,,
2300,2300.CRC05,Condition Indicator,,,,,,,,,,,,
2300,HI,Health Care Diagnosis Code (Required),,R,,,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABK International Classification of Diseases Clinical Modification (ICD-10-CM) Principal Diagnosis
BK International Classification of Diseases Clinical
Modification (ICD-9-CM) Principal Diagnosis","Hardcode as ""ABK""",,,,,,,,
2300,2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_1,DIAGNOSIS_CODE_01,23,CLaim,,,,,
2300,2300.HI02.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI02.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_2,DIAGNOSIS_CODE_02,25,CLaim,,,,,
2300,2300.HI03.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI03.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_3,DIAGNOSIS_CODE_03,27,CLaim,,,,,
2300,2300.HI04.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI04.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_4,DIAGNOSIS_CODE_04,29,CLaim,,,,,
2300,2300.HI05.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI05.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_5,DIAGNOSIS_CODE_05,31,CLaim,,,,,
2300,2300.HI06.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI06.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_6,DIAGNOSIS_CODE_06,33,CLaim,,,,,
2300,2300.HI07.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI07.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_7,DIAGNOSIS_CODE_07,35,CLaim,,,,,
2300,2300.HI08.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI08.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_8,DIAGNOSIS_CODE_08,37,CLaim,,,,,
2300,2300.HI09.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI09.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_9,DIAGNOSIS_CODE_09,39,CLaim,,,,,
2300,2300.HI10.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI10.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_10,DIAGNOSIS_CODE_10,41,CLaim,,,,,
2300,2300.HI11.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI11.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_11,DIAGNOSIS_CODE_11,43,CLaim,,,,,
2300,2300.HI12.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI12.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_12,DIAGNOSIS_CODE_12,45,CLaim,,,,,
2300,2300.HI13.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,,,
2300,2300.HI13.02,Industry Code,Code indicating a code from a specific industry code list,R,,DIAGNOSIS_CODE_13,DIAGNOSIS_CODE_13,47,CLaim,,,,,
2300,HI,Anesthesia Related Procedure (Situational),,,,,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,,,,,,,,,,,,
2300,2300.HI01.02,Industry Code,,,,,,,,,,,,
2300,2300.HI02.01,Code List Qualifier Code,,,,,,,,,,,,
2300,2300.HI02.02,Industry Code,,,,,,,,,,,,
2300,HI,Condition Information (Situational),,,,,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI01.02,Industry Code,,,,,,,,,,,,
2300,2300.HI02.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI02.02,Industry Code,,,,,,,,,,,,
2300,2300.HI03.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI03.02,Industry Code,,,,,,,,,,,,
2300,2300.HI04.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI04.02,Industry Code,,,,,,,,,,,,
2300,2300.HI05.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI05.02,Industry Code,,,,,,,,,,,,
2300,2300.HI06.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI06.02,Industry Code,,,,,,,,,,,,
2300,2300.HI07.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI07.02,Industry Code,,,,,,,,,,,,
2300,2300.HI08.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI08.02,Industry Code,,,,,,,,,,,,
2300,2300.HI09.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI09.02,Industry Code,,,,,,,,,,,,
2300,2300.HI10.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI10.02,Industry Code,,,,,,,,,,,,
2300,2300.HI11.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI11.02,Industry Code,,,,,,,,,,,,
2300,2300.HI12.01,Code List Qualifier Code,,,BG - Condition,,,,,,,,,
2300,2300.HI12.02,Industry Code,,,,,,,,,,,,
2300,HCP,Claim Pricing/Repricing Information,,,,,,,,,,,,
2300,2300.HCP01,Pricing Methodology,,,"00 Zero Pricing (Not Covered Under Contract)
01 Priced as Billed at 100%
02 Priced at the Standard Fee Schedule
03 Priced at a Contractual Percentage
04 Bundled Pricing
05 Peer Review Pricing
07 Flat Rate Pricing
08 Combination Pricing
09 Maternity Pricing
10 Other Pricing
11 Lower of Cost
12 Ratio of Cost
13 Cost Reimbursed
14 Adjustment Pricing",,,,,,,,,
2300,2300.HCP02,Monetary Amount,,,,,,,,,,,,
2300,2300.HCP03,Monetary Amount,,,,,,,,,,,,
2300,2300.HCP04,Reference Identification,,,,,,,,,,,,
2300,2300.HCP05,Rate,,,,,,,,,,,,
2300,2300.HCP06,Reference Identification,,,,,,,,,,,,
2300,2300.HCP07,Monetary Amount,,,,,,,,,,,,
2300,2300.HCP13,Reject Reason Code,,,"T1 Cannot Identify Provider as TPO (Third Party
Organization) Participant
T2 Cannot Identify Payer as TPO (Third Party
Organization) Participant
T3 Cannot Identify Insured as TPO (Third Party
Organization) Participant
T4 Payer Name or Identifier Missing
T5 Certification Information Missing
T6 Claim does not contain enough information for repricing",,,,,,,,,
2300,2300.HCP14,Policy Compliance Code,,,"1 Procedure Followed (Compliance)
2 Not Followed - Call Not Made (Non-Compliance Call
Not Made)
3 Not Medically Necessary (Non-Compliance Non-
Medically Necessary)
4 Not Followed Other (Non-Compliance Other)
5 Emergency Admit to Non-Network Hospital",,,,,,,,,
2300,2300.HCP15,Exception Code,,,"1 Non-Network Professional Provider in Network
Hospital
2 Emergency Care
3 Services or Specialist not in Network
4 Out-of-Service Area
5 State Mandates
6 Other",,,,,,,,,
LOOP 2310A - REFERRING PROVIDER NAME,,,,,,,,,,,,,,
2310A,NM1,Referring Provider Name,,S,,,,,,,,,,
2310A,2310A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,"DN Referring Provider
P3 Primary Care Provider","Hardcode as ""DN""",,,,,,,,
2310A,2310A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 Person,"Hardcode as ""1""",,,,,,,,
2310A,2310A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,REFERRING_LAST_NAME,REFERRING_LAST_NAME,288,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/practitioner/lastName,
2310A,2310A.NM104,Name First,Individual first name,S,,REFERRING_FIRST_NAME,REFERRING_FIRST_NAME,289,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/practitioner/firstName,
2310A,2310A.NM105,Name Middle,Individual middle name or initia,S,,REFERRING_MIDDLE_NAME,REFERRING_MIDDLE_NAME,290,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/practitioner/middleName,
2310A,2310A.NM107,Name Suffix,Suffix to individual name,S,,REFERRING_NAME_SUFFIX,REFERRING_NAME_SUFFIX,291,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/practitioner/nameSuffix,
2310A,2310A.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),S,XX Centers for Medicare and Medicaid Services National Provider Identifier,"Hardcode as ""XX""",,,,,,,,
