EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic/ Comments,
2310F.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,Mapped from /claim/hcfa1500Info/ambulanceDetails/ambulanceDropOffLocationDetails/state tag,,
2310F.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,Mapped from /claim/hcfa1500Info/ambulanceDetails/ambulanceDropOffLocationDetails/postalCode,,
2310F.N404,Country Code,Code identifying the country,S,,,Mapped from /claim/hcfa1500Info/ambulanceDetails/ambulanceDropOffLocationDetails/countryCode,Map only if not US,
2310F.N407,Country Subdivision Code,Code identifying the country subdivision,,,,,,
Loop: 2320 — OTHER SUBSCRIBER INFORMATION Loop Repeat: 10 - 1st instance,,,,,,,,
SBR,Segment - SBR Other Subscriber Information (Situational),,,,Should populate the details as given below for 1st 2320 instance,"First Instance
 --- It will always be mapped with HRP Paid Details",,
2320.SBR01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim",R,"P : Primary
S : Secondary
T : Tertiary",,"OtherInsuranceCount = Count(/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/companyName != """")

Logic to populate this instance of 2320 SBR01 -
If OtherInsuranceCount = 0
 Populate ""P""
Else If OtherInsuranceCount = 1
 Populate ""S""
Else If OtherInsuranceCount = 2
 Populate ""T""
Else If OtherInsuranceCount = 3
 Populate ""A""",,
2320.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,18 : Self,18,,,
2320.SBR03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/Insured Group or Policy Number",S,,,map from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/groupNumber,,
2320.SBR04,Name,Other Insured Group Name,S,,,,,
2320.SBR05,Insurance Type Code,Code identifying the type of insurance policy within a specific insurance program,S,,,,,
2320.SBR09,Claim Filing Indicator Code,Code identifying type of claim,S,,,"getClaimDetailsByHccIDResponseRecord/identifiers/identifier/value
if
getClaimDetailsByHccIDResponseRecord/identifiers/identifier/key is equal to ""CLAIM_FILING_INDICATOR_CODE",,
CAS,Segment - CAS Claim Level Adjustments (Situational),,,,,,,
2320.CAS01,Claim Adjustment Group Code,Code identifying the general category of payment adjustment,R,"CO : Contractual Obligations
CR : Correction and Reversals
OA : Other adjustments
PI : Payor Initiated Reductions
PR : Patient Responsibility",,,,
2320.CAS02,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
2320.CAS03,Monetary Amount,Monetary Amount,R,,,,,
2320.CAS04,Quantity,Numeric value of quantity,S,,,,,
2320.CAS05,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,,,
2320.CAS06,Monetary Amount,Monetary Amount,S,,,,,
2320.CAS07,Quantity,Numeric value of quantity,S,,,,,
2320.CAS08,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,,,
2320.CAS09,Monetary Amount,Monetary Amount,S,,,,,
2320.CAS10,Quantity,Numeric value of quantity,S,,,,,
2320.CAS11,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,,,
2320.CAS12,Monetary Amount,,S,,,,,
2320.CAS13,Quantity,Numeric value of quantity,S,,,,,
2320.CAS14,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,,,
2320.CAS15,Monetary Amount,Monetary Amount,S,,,,,
2320.CAS16,Quantity,Numeric value of quantity,S,,,,,
2320.CAS17,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,,,
2320.CAS18,Monetary Amount,Monetary Amount,S,,,,,
2320.CAS19,Quantity,Numeric value of quantity,S,,,,,
AMT,Segment - AMT Coordination of Benefits (COB) Payer Paid Amount (Situational),,,,This amount should match the Claim Line SVD Paid Amount,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,D : Payor Amount Paid,D,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hccAmount/,,
AMT,Segment - AMT Remaining Patient Liability (Situational),,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,EAF :  Amount Owed,,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,,,
AMT,Segment - AMT Coordination of Benefits (COB) Total Non-covered Amount (Situational),,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,A8 :  Noncovered Charges - Actual,,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,,,
OI,Segment - OI Other Insurance Coverage Information (Required),,,,,,,
2320.OI03,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,,"Hardcode to ""Y""",,,
2320.OI04,Patient Signature Source Code,"Code indicating how the patient or subscriber authorization signatures were
obtained and how they are being retained by the provider",S,,,,,
2320.OI06,Release of Information Code,Code indicating whether the provider has on file a signed statement by the patient authorizing the release of medical data to other organizations,R,,"Hardcode to ""Y""",,,
MOA,Segment - MOA Outpatient Adjudication Information (Situational),,,,,,,
2320.MOA01,Percentage as Decimal,"Percentage expressed as a decimal (e.g., 0.0 through 1.0 represents 0% through
100%)",S,,,,,
2320.MOA02,Monetary Amount,Monetary amount,S,,,,,
2320.MOA03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA04,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA05,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA06,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA07,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA08,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA09,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
"Loop: 2320 — OTHER SUBSCRIBER INFORMATION
 Create additional instance of 2320 & its equivalent loops for each instance of OtherInsuranceClaimInfo only when the below condition matches
/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/companyName != """"",,,,,,,,
SBR,Segment - SBR Other Subscriber Information (Situational),,,,,,,
2320.SBR01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim",R,"P : Primary
S : Secondary
T : Tertiary",,,,
,,,,,,"OtherInsuranceCount = Count(/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/companyName != """")

Logic to populate this instance of 2320 SBR01 -
If OtherInsuranceCount = 0
 Populate ""P""
Else If OtherInsuranceCount = 1
 Populate ""S""
Else If OtherInsuranceCount = 2
 Populate ""T""
Else If OtherInsuranceCount = 3
 Populate ""A""",,
2320.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,18 : Self,18,,,
2320.SBR03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/Insured Group or Policy Number",S,,,,,
,,,,,,map from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/groupNumber,,
,,,,,,,,
2320.SBR04,Name,Other Insured Group Name,S,,,,,
,,,,,,,,
,,,,,,,,
2320.SBR05,Insurance Type Code,Code identifying the type of insurance policy within a specific insurance program,S,,,,,
2320.SBR09,Claim Filing Indicator Code,Code identifying type of claim,S,,,"getClaimDetailsByHccIDResponseRecord/identifiers/identifier/value
if
getClaimDetailsByHccIDResponseRecord/identifiers/identifier/key is equal to ""CLAIM_FILING_INDICATOR_CODE",,
CAS,Segment - CAS Claim Level Adjustments (Situational),,,,,,,
2320.CAS01,Claim Adjustment Group Code,Code identifying the general category of payment adjustment,R,"CO : Contractual Obligations
CR : Correction and Reversals
OA : Other adjustments
PI : Payor Initiated Reductions
PR : Patient Responsibility",,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentGroupCode,Update the logic not to populate any CAS segment when AMT02 (AMT01 = 'A8') is populated,Not getting these tags in Soap XML.
2320.CAS02,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,Update the logic not to populate any CAS segment when AMT02 (AMT01 = 'A8') is populated,
2320.CAS03,Monetary Amount,Monetary Amount,R,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,Update the logic not to populate any CAS segment when AMT02 (AMT01 = 'A8') is populated,
2320.CAS04,Quantity,Numeric value of quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
2320.CAS05,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,,
2320.CAS06,Monetary Amount,Monetary Amount,S,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,,
2320.CAS07,Quantity,Numeric value of quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
2320.CAS08,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,,
2320.CAS09,Monetary Amount,Monetary Amount,S,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,,
2320.CAS10,Quantity,Numeric value of quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
2320.CAS11,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,,
2320.CAS12,Monetary Amount,,S,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,,
2320.CAS13,Quantity,Numeric value of quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
2320.CAS14,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,,
2320.CAS15,Monetary Amount,Monetary Amount,S,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,,
2320.CAS16,Quantity,Numeric value of quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
2320.CAS17,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,,
2320.CAS18,Monetary Amount,Monetary Amount,S,,,/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,,
2320.CAS19,Quantity,Numeric value of quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
AMT,Segment - AMT Coordination of Benefits (COB) Payer Paid Amount (Situational),,,,This amount should match the Claim Line SVD Paid Amount,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,D : Payor Amount Paid,D,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,claim/hccAmount/,,
AMT,Segment - AMT Remaining Patient Liability (Situational),,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,EAF :  Amount Owed,,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,"/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentGroupCode
/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode
/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount","Update the logic not to populate this AMT segment when AMT02 (AMT01 = 'A8') is populated
When CAS for the current 2320 loop is populated,
 Then
   if eobAdjustmentGroupCode = ""PR""
     Calculate the sum of all PR amounts (eobAdjustmentAmount)
        Map total as AMT02
        Map ""EAF"" as AMT02",NEED TO CHECK
AMT,Segment - AMT Coordination of Benefits (COB) Total Non-covered Amount (Situational),,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,A8 :  Noncovered Charges - Actual,,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,,,
OI,Segment - OI Other Insurance Coverage Information (Required),,,,,,,
2320.OI03,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,,"Hardcode to ""Y""",,,
2320.OI04,Patient Signature Source Code,"Code indicating how the patient or subscriber authorization signatures were
obtained and how they are being retained by the provider",S,,,,,
2320.OI06,Release of Information Code,Code indicating whether the provider has on file a signed statement by the patient authorizing the release of medical data to other organizations,R,,"Hardcode to ""Y""",,,
MOA,Segment - MOA Outpatient Adjudication Information (Situational),,,,,,,
2320.MOA01,Percentage as Decimal,"Percentage expressed as a decimal (e.g., 0.0 through 1.0 represents 0% through
100%)",S,,,,,
2320.MOA02,Monetary Amount,Monetary amount,S,,,,,
2320.MOA03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA04,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA05,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA06,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA07,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA08,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA09,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
Loop: 2330A — OTHER SUBSCRIBER NAME Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Subscriber Name (Required),,,,Map from subscriptionInformation if otherInsuranceInfoClaimInfo is not present,,,
2330A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,IL : Insured or Subscriber,IL,Copy the details of the patient from 2000B loop here,,
2330A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",1,,,
2330A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/otherSubscriberLastName,Copy from 2010BA,
,,,R,,,,Copy from 2010BA,
2330A.NM104,Name First,Individual first name,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/otherSubscriberFirstName,Copy from 2010BA,
2330A.NM105,Name Middle,Individual middle name or initial,S,,,,Copy from 2010BA,
2330A.NM105,,,S,,,,Copy from 2010BA,
2330A.NM107,Name Suffix,Suffix to individual name,S,E,,,Copy from 2010BA,
2330A.NM107,,,S,E,,,Copy from 2010BA,
2330A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,"II : Standard Unique Health Identifier for each Individual
in the United States
MI :Member Identification Number",MI,,Copy from 2010BA,
2330A.NM109,Identification Code,Code identifying a party or other code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/otherInsuranceSubscriberId,Copy from 2010BA,
N3,Segment - N3 Other Subscriber Address (Situational),,,,,Copy from 2010BA,,
2330A.N301,Address Information,Address Information,R,,,Copy from 2010BA,,
2330A.N302,Address Information,Address Information,S,,,Copy from 2010BA,,
N4,Segment - N4 Other Subscriber City/State/ZIP Code (Situational),,,,,Copy from 2010BA,,
2330A.N401,City Name,Free-form text for city name,R,,,Copy from 2010BA,,
2330A.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,Copy from 2010BA,,
2330A.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2330A.N404,Country Code,Code identifying the country,S,,,,,
2330A.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Other Subscriber Secondary Information (Situational),,,,,,,
2330A.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,SY :  Social Security Number,,,,
2330A.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier / Other Insured Additional Identifier",R,,,,,
Loop: 2330B — OTHER PAYER NAME Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Payer Name (Required),,,,,,,
2330B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PR : Payer,PR,,,
2330B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :  Non-Person Entity,2,,,
2330B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicName,Copy from 2010BB loop,
2330B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",R,"PI :  Payor Identification
XV : Centers for Medicare and Medicaid Services PlanID",XV,,,
2330B.NM109,Identification Code,Code identifying a party or other code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//subscriptionInformation/topAccount/id,Copy from 2010BB loop,
N3,Segment - N3 Other Payer Address (Situational),,,,,,,
2330B.N301,Address Information,Address Information,R,,,Copy from 2010BB loop,,
2330B.N302,Address Information,Address Information,S,,,Copy from 2010BB loop,,
N4,Segment - N4 Other Payer City/State/ZIP Code (Situational),,,,,,,
2330B.N401,City Name,Free-form text for city name,R,,,Copy from 2010BB loop,,
2330B.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,Copy from 2010BB loop,,
2330B.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,Copy from 2010BB loop,,
2330B.N403,,,S,,,Copy from 2010BB loop,,
2330B.N404,Country Code,Code identifying the country,S,,,,,
2330B.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
DTP,Segment - DTP Claim Check or Remittance Date (Situational),,,,,,,
2330B.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,573 : Date Claim Paid,"Hardcode ""573""",,,
2330B.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,"Hardcode ""D8""",,,
2330B.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,claimDetails/claimExtract/EOBPaymentInformation/paymentDate,,
REF,Segment - REF Other Payer Secondary Identifier (Situational),,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"2U : Payer Identification Number
EI : Employer’s Identification Number
FY : Claim Office Number
NF : National Association of Insurance Commissioners
(NAIC) Code",,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/Other Payer Secondary Identifier",R,,,,,
REF,Segment - REF Other Payer Prior Authorization Number (Situational),,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1 : Prior Authorization Number,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Other Payer Prior Authorization Number",R,,,,,
REF,Segment - REF Other Payer Referral Number (Situational),,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F :  Referral Number,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/  Other Payer Prior Authorization or Referral
Number",R,,,,,
REF,Segment - REF Other Payer Claim Adjustment Indicator (Situational),,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,T4 : Signal Code,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ : Other Payer Claim Adjustment Indicator",R,,,,,
REF,Segment - REF Other Payer Claim Control Number (Situational),,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F8 : Original Reference Number,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ : Other Payer’s Claim Control Number",R,,,,,
Loop: 2330C — OTHER PAYER REFERRING PROVIDER Loop Repeat: 2,,,,,,,,
NM1,Segment - NM1 Other Payer Referring Provider (Situational),,,,,,,
2330C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,"DN : Referring Provider
P3 : Primary Care Provider",,,,
2330C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,
REF,Segment - REF Other Payer Referring Provider Secondary Identification (Required),,,,,,,
2330C.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,
2330C.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier  /Other Payer Referring Provider Identifier,R,,,,,
Loop: 2330D — OTHER PAYER RENDERING PROVIDER Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Payer Rendering Provider (Situational),,,,,,,
2330D.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,82 :Other Payer Referring Provider Identifier,,,,
2330D.NM102,Entity Type Qualifier,Code qualifying the type of entity /Other Payer Referring Provider Identifier,R,"1 :Person
2 :Non-Person Entity",,,,
REF,Segment - REF Other Payer Rendering Provider Secondary Identification (Required),,,,,,,
2330D.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B :State License Number
1G :Provider UPIN Number
G2 :Provider Commercial Number
LU :Location Number",,,,
2330D.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier /Other Payer Referring Provider Identifier,R,,,,,
Loop: 2330E — OTHER PAYER SERVICE FACILITY LOCATION Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Payer Service Facility Location (Situational),,,,,,,
2330E.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,77 : Service Locatio,,,,
2330E.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :Non-Person Entity,,,,
REF,Segment - REF Other Payer Service Facility Location Secondary Identification (Required),,,,,,,
2330E.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
G2 : Provider Commercial Number
LU : Location Number",,,,
2330E.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier /Other Payer Service Facility Location Secondary
Identifie",R,,,,,
Loop: 2330F — OTHER PAYER SUPERVISING PROVIDER Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Payer Supervising Provider (Situational),,,,,,,
2330F.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,DQ : Supervising Physician,,,,
2330F.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,
REF,Segment - REF Other Payer Supervising Provider Secondary Identification (Required),,,,,,,
2330F.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU : Location Number",,,,
2330F.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Other Payer Supervising Provider Identifier",R,,,,,
Loop: 2330G — OTHER PAYER BILLING PROVIDER Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Payer Billing Provider (Situational),,,,,,,
2330G.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 : Billing Provider,,,,
2330G.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,
REF,Segment - REF Other Payer Billing Provider Secondary Identification (Required),,,,,,,
2330G.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"G2 : Provider Commercial Number
LU : Location Number",,,,
2330G.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Other Payer Billing Provider Identifier",R,,,,,
Loop: 2400 — SERVICE LINE NUMBER Loop Repeat: 50,,,,,,,,
LX,Segment - LX Service Line Number (Required),,,,,,,
2400.LX01,Assigned Number,Number assigned for differentiation within a transaction set,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/claimLineId,,
Loop: 2400 — SERVICE LINE NUMBER,,,,,,,,
SV1,Segment - SV1 Professional Service (Required),,,,,,,
2400.SV101.01,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID (234)",R,"HC  :  Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
ER : Jurisdiction Specific Procedure and Supply Codes
IV :Home Infusion EDI Coalition (HIEC) Product/Service
Code
WK :Advanced Billing Concepts (ABC) Codes",HC,,,
2400.SV101.02,Product/Service ID,identifying number for a product or service,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/serviceCode,,
2400.SV101.03,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2400.SV101.04,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
