EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Encounter Mapping,HRP Element Description,Transformation Logic,Comments
HI,Segment - HI CONDITION INFORMATION (Situational),,,,,,,,
2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI01.02,Industry Code,Condition Code,R,,,,,,
2300.HI02.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI02.02,Industry Code,Condition Code,R,,,,,,
2300.HI03.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI03.02,Industry Code,Condition Code,R,,,,,,
2300.HI04.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI04.02,Industry Code,Condition Code,R,,,,,,
2300.HI05.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI05.02,Industry Code,Condition Code,R,,,,,,
2300.HI06.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI06.02,Industry Code,Condition Code,R,,,,,,
2300.HI07.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI07.02,Industry Code,Condition Code,R,,,,,,
2300.HI08.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI08.02,Industry Code,Condition Code,R,,,,,,
2300.HI09.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI09.02,Industry Code,Condition Code,R,,,,,,
2300.HI10.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI10.02,Industry Code,Condition Code,R,,,,,,
2300.HI11.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI11.02,Industry Code,Condition Code,R,,,,,,
2300.HI12.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,,,,,
2300.HI12.02,Industry Code,Condition Code,R,,,,,,
HCP,Segment - HCP Claim Pricing/Repricing Information (Situational),,,,,,,,
2300.HCP01,Pricing Methodology,"Code specifying pricing methodology at which the claim or line item has been
priced or repriced",R,,,,,,
2300.HCP02,Monetary Amount,Repriced Allowed Amount,R,,,,,,
2300.HCP03,Monetary Amount,Repriced Saving Amount,S,,,,,,
2300.HCP04,Reference Identification,Repricing Organization Identifier,S,,,,,,
2300.HCP05,Rate,Repricing Per Diem or Flat Rate Amount,S,,,,,,
2300.HCP06,Reference Identification,Repriced Approved Ambulatory Patient Group Code,S,,,,,,
2300.HCP07,Monetary Amount,Repriced Approved Ambulatory Patient Group Amount,S,,,,,,
2300.HCP13,Reject Reason Code,Code assigned by issuer to identify reason for rejection,S,,,,,,
2300.HCP14,Policy Compliance Code,Code specifying policy compliance,S,,,,,,
2300.HCP15,Exception Code,Code specifying the exception reason for consideration of out-of-network health care services,S,,,,,,
Loop 2310A  - REFERRING PROVIDER NAME (Situational)  Loop Repeat: 2,,,R,,,,,,
NM1,Segment - NM1 Referring Provider Name (Situational),,R,,,,,,
2310A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,"DN : Referring Provider
P3 : Primary Care Provider",,,,,
2310A.NM102,Entity Type Qualifier,y,R,1 : Person,,,,,
2310A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,"Form this element by concatenating First Name and Last Name separated by space ( )

2310A.NM104  + 2310A.NM103",
,,,,,,,,,
2310A.NM104,Name First,Individual first name,S,,,,,,
2310A.NM105,Name Middle,Individual middle name or initial,S,,,,,,
2310A.NM107,Name Suffix,Suffix to individual name,S,,,,,,
2310A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2310A.NM109,Identification Code,Referring Provider Identifier,S,,,,Referring Practitioner's National Provider Id,,
REF,Segment - REF Referring Provider Secondary Identification (Situational),,,,,,,,
2310A.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,Identifies the IdType,,
2310A.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Referring Provider Secondary Identifier",R,,,,Referring Practitioner's Id,,
Loop 2310B — RENDERING PROVIDER NAME Loop Repeat: 1 (Situational),,,,,,,,,
NM1,Segment - NM1 Rendering Physician Name (Situational),,,,,,,,
2310B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,82 : Rendering Provider,,,,,
2310B.NM102,Entity Type Qualifier,"Code identifying an organizational entity, a physical location, property or an
individual",R,"1 : Person
2 : Non-Person Entity",,,,,
2310B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderLastName,,if  Loop 2420A does not exist,
2310B.NM104,Name First,Individual first name,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderFirstName,,if  Loop 2420A does not exist,
2310B.NM105,Name Middle,Individual middle name or initial,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderMiddleName,,if  Loop 2420A does not exist,
2310B.NM107,Name Suffix,Suffix to individual name,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderSuffix,,if  Loop 2420A does not exist,
2310B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2310B.NM109,Identification Code,Code identifying a party or other code /Rendering Provider Identifier,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderNPI,,1. if  Loop 2420A does not exist,
PRV,Segment - PRV Rendering Provider Specialty Information (Situational),,,,,,,,
2310B.PRV01,Provider Code,Code identifying the type of provider,R,PE : Performing,,,,,
2310B.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC : Health Care Provider Taxonomy Code,,,,,
2310B.PRV03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier / Provider Taxonomy Code",R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingPractitionerSpecialty,,if  Loop 2420A does not exist,
REF,Segment - REF Rendering Provider Secondary Identification (Situational),,,,,,,,
2310B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU : Location Number",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderIdQualifier,,if  Loop 2420A does not exist,
2310B.REF02,Reference Identification,Rendering Provider Secondary Identifier,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/otherRenderingProviderId,,if  Loop 2420A does not exist,
Loop 2310C — SERVICE FACILITY LOCATION NAME Loop Repeat: 1 (Situational),,,,,,,,,
NM1,Segment - NM1 Service Facility Location Name (Situational),,,,,,,,
2310C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,77 : Service Location,,,,,
2310C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,,
2310C.NM103,Name Last or Organization Name,Individual last name or organizational name /Laboratory or Facility Name,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/renderingFacility/facilityName,Facility Name,,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/outsideLabUsed/labName,Name of Lab,"If 2420C.NM103 present map that, else map this element

Name of Lab",
2310C.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,Facility NPI,,
2310C.NM109,Identification Code,Laboratory or Facility Primary Identifier,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/renderingFacility/npi,,,
N3,Segment - N3 Service Facility Location Address (Required),,,,,,,,
2310C.N301,Address Information,Address information,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/renderingFacility/streetAddress,,,
2310C.N302,Address Information,Address information,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/renderingFacility/streetAddress,,second instance of street address,
N4,"Segment - N4 Service Facility Location City, State, ZIP Code (Required)",,,,,,,,
2310C.N401,City Name,Free-form text for city name,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/renderingFacility/cityName,City Name,,
2310C.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/renderingFacility/stateCode,State,,
2310C.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/renderingFacility/postalCode,Zip Code,,
2310C.N404,Country Code,Code identifying the country,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/renderingFacility/countryCode,Country Code,"Map to the value ""US"" if not present",
2310C.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
REF,Segment - REF Service Facility Location Secondary Identification (Situational),,,,,,,,
2310C.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
G2 : Provider Commercial Number
LU : Location Number",,,,,
2310C.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/Laboratory or Facility Secondary Identifier",R,,,,Facility ID,,
PER,Segment - PER Service Facility Contact Information (Situational),,,,,,,,
2310C.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC : Information Contact,,,,,
2310C.PER02,Name,Name,S,,,,,,
2310C.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,TE : Telephone,,,,,
2310C.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,,,Facility telephone number,,
2310C.PER05,Communication Number Qualifier,Code identifying the type of communication number,R,EX :  Telephone Extension,,,,,
2310C.PER06,Communication Number,"Complete communications number including country or area code when
applicable",S,,,,,,
Loop 2310D — SUPERVISING PROVIDER NAME (Situational)   Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Supervising Provider Name (Situational),,,,,,,,
2310D.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,DQ : Supervising Physician,,,,,
2310D.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,,
2310D.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
2310D.NM104,Name First,Individual first name,S,,,,,,
2310D.NM105,Name Middle,Individual middle name or initial,S,,,,,,
2310D.NM107,Name Suffix,Suffix to individual name,S,,,,,,
2310D.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,,,,,,
2310D.NM109,Identification Code,Code identifying a party or other code /  Supervising Provider Identifier,S,,,,,,
REF,Segment - REF Supervising Provider Secondary Identification (Situational),,,,,,,,
2310D.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
G2 : Provider Commercial Number
LU : Location Number",,,,,
2310D.REF02,Reference Identification,Supervising Provider Secondary Identifier,R,,,,,,
Loop 2310E  - AMBULANCE PICK-UP LOCATION  (Situational)  Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Ambulance Pick-up Location (Situational),,,,,,,,
2310E.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PW :  Pickup Address,,,,,
2310E.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2  :  Non-Person Entity,,,,,
N3,Segment - N3 Ambulance Pick-up Location Address (Required),,,,,,,,
2310E.N301,Address Information,Ambulance Pick-up Address Line,R,,,,Address line 1,,
2310E.N302,Address Information,Ambulance Pick-up Address Line,S,,,,Address line 2,,
N4,"Segment - N4 Ambulance Pick-up Location City, State, ZIP Code (Required)",,,,,,,,
2310E.N401,City Name,Free-form text for city name,R,,,,,,
2310E.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,
2310E.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,,
,,,,,,,,,
2310E.N404,Country Code,Code identifying the country,S,,,,,"Map to the value ""US"" if not present",
2310E.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Loop 2310F — AMBULANCE DROP-OFF LOCATION (Situational) Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Ambulance Drop-off Location (Situational),,,,,,,,
2310F.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,45 : Drop-off Location,,,,,
2310F.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2  :  Non-Person Entity,,,,,
2310F.NM103,Name Last or Organization Name,Ambulance Drop-off Location,S,,,,,,
N3,Segment - N3 Ambulance Drop-off Location Address (Required),,,,,,,,
2310F.N301,Address Information,Ambulance Drop-off Address Line,R,,,,,,
2310F.N302,Address Information,Ambulance Drop-off Address Line,S,,,,,,
N4,"Segment - N4 Ambulance Drop-off Location City, State, ZIP Code (Required)",,,,,,,,
2310F.N401,City Name,Free-form text for city name,R,,,,City Name,,
2310F.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,State,,
2310F.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,Zip Code,Map byte 1-5,
2310F.N403,,,,,,,Zip Code Suffix,Map byte 6-9,
2310F.N404,Country Code,Code identifying the country,S,,,,Country,"Map to the value ""US"" if not present",
2310F.N407,Country Subdivision Code,Code identifying the country subdivision,,,,,,,
"Loop 2320 — OTHER SUBSCRIBER INFORMATION(Situational) Loop Repeat: 10

The invoice attachment (professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/invoiceAttachments/invoiceAttachment)
will be repeated based upon the number of 2320 loops. .i.e  for each payer loop, one individual invoice attachment loop is populated in target XML.",,,S,,,,,,
SBR,Segment - SBR Other Subscriber Information (Situational),,,,,,,,
2320.SBR01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim",R,"P : Primary
S : Secondary
T : Tertiary",,,"Indicates whether other insurance is primary, secondary, or tertiary",,
,,,,,,,,,
2320.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,18 : Self,,,,,
2320.SBR03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/Insured Group or Policy Number",S,,,,"If yes, subscriber has an additional health plan",,
,,,,,,,Group number indicated on the EOB,,
2320.SBR04,Name,Other Insured Group Name,S,,,,Group name indicated on the EOB,,
,,,,,,,Plan ID number indicated on the EOB,,
2320.SBR05,Insurance Type Code,Code identifying the type of insurance policy within a specific insurance program,S,,,,Type of the other insurance,,
2320.SBR09,Claim Filing Indicator Code,Code identifying type of claim,S,,"MB :Medicare Part B
MA: Medicare Part A
MC: Medicaid",,,,
CAS,Segment - CAS Claim Level Adjustments (Situational),,,,,,,,
2320.CAS01,Claim Adjustment Group Code,Code identifying the general category of payment adjustment,R,"CO : Contractual Obligations
CR : Correction and Reversals
OA : Other adjustments
PI : Payor Initiated Reductions
PR : Patient Responsibility",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/groupCode,,"If multiple 2320 loops are present, consider and map only the 1st 2320 loop and ignore the other 2320 loops
Note: Multiple 2320 are not possible, this is just to handle the negative scenario",
2320.CAS02,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/casCode,,,
2320.CAS03,Monetary Amount,Monetary Amount,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/amount,,,
2320.CAS04,Quantity,Numeric value of quantity,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/quantity,,,
2320.CAS05,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/casCode,,,
2320.CAS06,Monetary Amount,Monetary Amount,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/amount,,,
2320.CAS07,Quantity,Numeric value of quantity,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/quantity,,,
2320.CAS08,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/casCode,,,
2320.CAS09,Monetary Amount,Monetary Amount,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/amount,,,
2320.CAS10,Quantity,Numeric value of quantity,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/quantity,,,
2320.CAS11,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/casCode,,,
2320.CAS12,Monetary Amount,,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/amount,,,
2320.CAS13,Quantity,Numeric value of quantity,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/quantity,,,
2320.CAS14,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/casCode,,,
2320.CAS15,Monetary Amount,Monetary Amount,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/amount,,,
2320.CAS16,Quantity,Numeric value of quantity,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/quantity,,,
2320.CAS17,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/casCode,,,
2320.CAS18,Monetary Amount,Monetary Amount,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/amount,,,
2320.CAS19,Quantity,Numeric value of quantity,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/casCodes/casCode/quantity,,,
AMT,Segment - AMT Coordination of Benefits (COB) Payer Paid Amount (Situational),,,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,D : Payor Amount Paid,,,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/netPaidAmount,Net paid amount.,,
,Monetary Amount,Monetary Amount,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/allowedAmount,Allowed Amount,,
AMT,Segment - AMT Remaining Patient Liability (Situational),,,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,EAF :  Amount Owed,,,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/memberResponsibilityAmount,Member Responsibility Amount,,
AMT,Segment - AMT Coordination of Benefits (COB) Total Non-covered Amount (Situational),,,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,A8 :  Noncovered Charges - Actual,,,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/nonCoveredAmount,Monetary Amount,,
OI,Segment - OI Other Insurance Coverage Information (Required),,,,,,,,
2320.OI03,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,,,,,,
2320.OI04,Patient Signature Source Code,"Code indicating how the patient or subscriber authorization signatures were
obtained and how they are being retained by the provider",S,,,,,,
2320.OI06,Release of Information Code,Code indicating whether the provider has on file a signed statement by the patient authorizing the release of medical data to other organizations,R,,,,,,
MOA,Segment - MOA Outpatient Adjudication Information (Situational),,,,,,,,
2320.MOA01,Percentage as Decimal,"Percentage expressed as a decimal (e.g., 0.0 through 1.0 represents 0% through
100%)",S,,,,,,
2320.MOA02,Monetary Amount,Monetary amount,S,,,,,,
2320.MOA03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,,
2320.MOA04,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,,
2320.MOA05,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,,
2320.MOA06,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,,
2320.MOA07,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,,
2320.MOA08,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,,
2320.MOA09,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,,
Loop 2330A —  OTHER SUBSCRIBER NAME (Situational) Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Other Subscriber Name (Required),,,,,,,,
2330A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,IL : Insured or Subscriber,,,,,
2330A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,,
2330A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,Subscriber's Last Name,,
2330A.NM104,Name First,Individual first name,S,,,,,,
2330A.NM105,Name Middle,Individual middle name or initial,S,,,,Subscriber's Middle Name,,
2330A.NM107,Name Suffix,Suffix to individual name,S,E,,,Subscriber name suffix,,
2330A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,"II : Standard Unique Health Identifier for each Individual
in the United States
MI :Member Identification Number",,,,,
2330A.NM109,Identification Code,Code identifying a party or other code,R,,,,"Member's
identification number as assigned by the COB payer",,
N3,Segment - N3 Other Subscriber Address (Situational),,,,,,,,
2330A.N301,Address Information,Address Information,R,,,,,,
2330A.N302,Address Information,Address Information,S,,,,,,
N4,Segment - N4 Other Subscriber City/State/ZIP Code (Situational),,,,,,,,
2330A.N401,City Name,Free-form text for city name,R,,,,,,
2330A.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,
2330A.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,,
2330A.N404,Country Code,Code identifying the country,S,,,,,,
2330A.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
REF,Segment - REF Other Subscriber Secondary Information (Situational),,,,,,,,
2330A.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,SY :  Social Security Number,,,,,
2330A.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier / Other Insured Additional Identifier",R,,,,,,
Loop 2330B — OTHER PAYER NAME (Situational) Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Other Payer Name (Required),,,,,,,,
2330B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PR : Payer,,,,,
2330B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :  Non-Person Entity,,,,,
2330B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,Insurance company name,,
2330B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",R,"PI :  Payor Identification
XV : Centers for Medicare and Medicaid Services PlanID",,,,,
2330B.NM109,Identification Code,Code identifying a party or other code,R,,,,,,
N3,Segment - N3 Other Payer Address (Situational),,,,,,,,
2330B.N301,Address Information,Address Information,R,,,,Address first line,,
2330B.N302,Address Information,Address Information,S,,,,Address second line,,
N4,Segment - N4 Other Payer City/State/ZIP Code (Situational),,,,,,,,
2330B.N401,City Name,Free-form text for city name,R,,,,City Name,,
