EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Hardcode,CSV Field,Claim Level/Line Level,Transformation Logic
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,,,,
Segment - HCP Claim Pricing/Repricing Information (Situational),,,,,,,,,
2300.HCP01,Pricing Methodology,Code specifying pricing methodology at which the claim or line item has been priced or repriced,R,"00 Zero Pricing (Not Covered Under Contract)
01 Priced as Billed at 100%
02 Priced at the Standard Fee Schedule
03 Priced at a Contractual Percentage
04 Bundled Pricing
05 Peer Review Pricing
06 Per Diem Pricing
07 Flat Rate Pricing
08 Combination Pricing
09 Maternity Pricing
10 Other Pricing
11 Lower of Cost
12 Ratio of Cost
13 Cost Reimbursed
14 Adjustment Pricin",,,,,
2300.HCP02,Monetary Amount,Monetary amount,R,,,,,,
2300.HCP03,Monetary Amount,Monetary amount,S,,,,,,
2300.HCP04,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",S,,,,,,
2300.HCP05,Rate,Rate,S,,,,,,
2300.HCP06,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",S,,,,,,
2300.HCP07,Monetary Amount,Monetary Amount,S,,,,,,
2300.HCP08,Product/Service ID,Identifying number for a product or service,S,,,,,,
2300.HCP09,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID (234",S,"ER :Jurisdiction Specific Procedure and Supply Codes
HC: Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
HP Health Insurance Prospective Payment System
(HIPPS) Skilled Nursing Facility Rate Code
HP: Health Insurance Prospective Payment System
(HIPPS) Skilled Nursing Facility Rate Code
IV: Home Infusion EDI Coalition (HIEC) Product/Service
Code
WK Advanced Billing Concepts (ABC) Codes",,,,,
2300.HCP11,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which
a measurement has been taken",S,,,,,,
2300.HCP12,Quantity,Numeric value of quantity,S,,,,,,
2300.HCP13,Reject Reason Code,Code assigned by issuer to identify reason for rejection,S,"T1 Cannot Identify Provider as TPO (Third Party
Organization) Participant
T2 Cannot Identify Payer as TPO (Third Party
Organization) Participant
T3 Cannot Identify Insured as TPO (Third Party
Organization) Participant
T4 Payer Name or Identifier Missing
T5 Certification Information Missing
T6 Claim does not contain enough information for repricing",,,,,
2300.HCP14,Policy Compliance Code,Code specifying policy compliance,S,"1 Procedure Followed (Compliance)
2 Not Followed - Call Not Made (Non-Compliance Call
Not Made)
3 Not Medically Necessary (Non-Compliance NonMedically Necessary)
4 Not Followed Other (Non-Compliance Other)
5 Emergency Admit to Non-Network Hospital",,,,,
2300.HCP15,Exception Code,"Code specifying the exception reason for consideration of out-of-network health
care services",S,"1 Non-Network Professional Provider in Network
Hospital
2 Emergency Care
3 Services or Specialist not in Network
4 Out-of-Service Area
5 State Mandates
6 Other",,,,,
Loop 2310A (Situational),,,,,,,,,
Segment - NM1 Attending Provider Name (Situational),,,,,,,,,
2310A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,71 Attending Physician,,"Hardcode as ""71""",,,
2310A.NM102,Entity Type Qualifier,"Code identifying an organizational entity, a physical location, property or an
individual",R,1 Person,,"Hardcode as ""1""",,,
2310A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,Attending_practitioner_LastName,Claim Level,
2310A.NM104,Name First,Individual first name,S,,,,Attending_Practitioner_FirstName,Claim Level,
,,,,,,,Attending_Practitioner_FullName,Claim Level,concatenate NM104/5/3/7 (First Middle Last Suffix)
2310A.NM105,Name Middle,Individual middle name or initial,S,,,,,,
2310A.NM107,Name Suffix,Suffix to individual name,S,,,,,,
2310A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,"Hardcode as ""XX""",,,
2310A.NM109,Identification Code,Code identifying a party or other code /Rendering Provider Identifier,S,1851470140,,,Attending_practitioner_Npi,Claim Level,
Segment - PRV Provider Information (Situational),,,,,,,,,
2310A.PRV01,Provider Code,Code identifying the type of provider,R,AT  : Attending,,,,,
2310A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC :Health Care Provider Taxonomy Code,,,,,
2310A.PRV03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,207Q00000X,,,,,
Segment - REF Attending Provider Secondary Identification (Situational),,,,,,,,,
2310A.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
1555 UPINs must be formatted as either X99999 or
XXX999.
G2 : Provider Commercial Number
LU: Location Numbe",,,Attending_Practitioner_Id_Qualifier,Claim Level,
2310A.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,0121T3B0B,,,Attending_Practitioner_Id,Claim Level,
Loop 2310B (Situational),,,,,,,,,
Segment - NM1 Operating Physician Name (Situational),,,,,,,,,
2310B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,72 - Operating Physician,,"Hardcode as ""72""",,,
2310B.NM102,Entity Type Qualifier,"Code identifying an organizational entity, a physical location, property or an
individual",R,1 - Person,,"Hardcode as ""1""",,,
2310B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,Individual last name or organizational name,,,Operating_practitioner_LastName,Claim Level,
2310B.NM104,Name First,Individual first name,S,Individual first name,,,Operating_Practitioner_FirstName,Claim Level,
2310B.NM105,Name Middle,Individual middle name or initial,S,Individual middle name or initial,,,,,
2310B.NM107,Name Suffix,Suffix to individual name,S,Suffix to individual name,,,,,
2310B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,"Hardcode as ""XX""",,,
2310B.NM109,Identification Code,Code identifying a party or other code /Rendering Provider Identifier,S,,,,Operating_practitioner_Npi,Claim Level,
Segment - REF Operating Physician Secondary Identification (Situational),,,,,,,,,
2310B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,Operating_Practitioner_Id_Qualifier,Claim Level,
2310B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,Operating_Practitioner_Id,Claim Level,
Loop 2310C (Situational),,,,,,,,,
Segment - NM1 Other Operating Physician Name (Situational),,,,,,,,,
2310C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,ZZ : Mutually Defined,,"Hardcode as ""ZZ""",,,
2310C.NM102,Entity Type Qualifier,"Code identifying an organizational entity, a physical location, property or an
individual",R,1 :  Person,,"Hardcode as ""1""",,,
2310C.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,Other_practitioner_LastName,Claim Level,
2310C.NM104,Name First,Individual first name,S,,,,Other_Practitioner_FirstName,Claim Level,
2310C.NM105,Name Middle,Individual middle name or initial,S,,,,,,
2310C.NM107,Name Suffix,Suffix to individual name,S,,,,,,
2310C.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,"Hardcode as ""XX""",,,
2310C.NM109,Identification Code,Code identifying a party or other code /Rendering Provider Identifier,S,,,,Other_practitioner_Npi,Claim Level,
Segment - REF Other Operating Physician Secondary Identification (Situational),,,,,,,,,
2310C.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
1555 UPINs must be formatted as either X99999 or
XXX999.
G2 :Provider Commercial Number
1464: This code designates a proprietary provider number
for the destination payer identified in the Payer
Name loop, Loop ID-2010BB, associated with this
claim. This is to be used by all payers including:
Medicare, Medicaid, Blue Cross, etc.
LU : Location Numbe",,,Other_Practitioner_Id_Qualifier,Claim Level,
2310C.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,Other_Practitioner_Id,Claim Level,
Loop 2310D (Situational),,,,,,,,,
Segment - NM1 Rendering Provider Name (Situational),,,,,,,,,
2310D.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,82 :Rendering Provider,,,,,
2310D.NM102,Entity Type Qualifier,"Code identifying an organizational entity, a physical location, property or an
individual",R,1 : Person,,,,,
2310D.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
2310D.NM104,Name First,Individual first name,S,,,,,,
2310D.NM105,Name Middle,Individual middle name or initial,S,,,,,,
2310D.NM107,Name Suffix,Suffix to individual name,S,,,,,,
2310D.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2310D.NM109,Identification Code,Code identifying a party or other code /Rendering Provider Identifier,S,,,,,,
Segment - REF Rendering Provider Secondary Identification (Situational),,,,,,,,,
2310D.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B :  State License Number
1G :  Provider UPIN Number
1555 UPINs must be formatted as either X99999 or
XXX999.
G2 :  Provider Commercial Number
1464 :  This code designates a proprietary provider number
for the destination payer identified in the Payer
Name loop, Loop ID-2010BB, associated with this
claim. This is to be used by all payers including:
Medicare, Medicaid, Blue Cross, etc.
LU : Location Number",,,,,
2310D.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Loop 2310E (Situational),,,,,,,,,
Segment - NM1 Service Facility Location Name (Situational),,,,,,,,,
2310E.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,77 : Service Location,,,,,
2310E.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :  Non-Person Entity,,,,,
2310E.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
2310E.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2310E.NM109,Identification Code,Code identifying a party or other code,S,,,,,,
Segment - N3 Service Facility Location Address (Required),,,,,,,,,
2310E.N301,Address Information,Address Information,R,,,,,,
2310E.N302,Address Information,Address Information,S,,,,,,
"Segment - N4 Service Facility Location City, State, ZIP Code (Required)",,,,,,,,,
2310E.N401,City Name,Free-form text for city name,R,,,,,,
2310E.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,
2310E.N403,Postal Code,"Code defining international postal zone code excluding punctuation and blanks
(zip code for United States)",S,,,,,,
2310E.N404,Country Code,Code identifying the country,S,,,,,,
2310E.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Segment - REF Service Facility Location Secondary Identification (Situational),,,,,,,,,
2310E.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
G2 :  Provider Commercial Number
1464 :  This code designates a proprietary provider number
for the destination payer identified in the Payer
Name loop, Loop ID-2010BB, associated with this
claim. This is to be used by all payers including:
Medicare, Medicaid, Blue Cross, etc.
LU :  Location Number",,,,,
2310E.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Loop 2310F (Situational),,,,,,,,,
Segment - NM1 Referring Provider Name (Situational),,,,,,,,,
2310F.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,DN : Referring Provider,,,,,
2310F.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 Person,,,,,
2310F.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
2310F.NM104,Name First,Individual first name,S,,,,,,
2310F.NM105,Name Middle,Individual middle name or initial,S,,,,,,
2310F.NM107,Name Suffix,Suffix to individual name,S,,,,,,
2310F.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2310F.NM109,Identification Code,Code identifying a party or other code,S,,,,,,
Segment - REF Referring Provider Secondary Identification (Situational),,,,,,,,,
2310F.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,,
2310F.REF02,Reference Identification,,R,,,,,,
Loop 2320 (Situational),,,,,,,,,
Segment - SBR Other Subscriber Information (Situational),,,,,,,,,
2320.SBR01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim",R,"A Payer Responsibility Four
B Payer Responsibility Five
C Payer Responsibility Six
D Payer Responsibility Seven
E Payer Responsibility Eight
F Payer Responsibility Nine
G Payer Responsibility Ten
H Payer Responsibility Eleven
P Primary
S Secondary
T Tertiary
U Unknown",,,,,
2320.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,"01 Spouse
18 Self
19 Child
20 Employee
21 Unknown
39 Organ Donor
40 Cadaver Donor
53 Life Partner
G8 Other Relationship",18,,,,
2320.SBR03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/Insured Group or Policy Number",S,,,,,,
2320.SBR04,Name,Free-form name,S,,,,,,
2320.SBR09,Claim Filing Indicator Code,Code identifying type of claim,S,"MA Medicare Part A
MB Medicare Part B
MC Medicaid
OF Other Federal Program",,,,,
Segment - CAS Claim Level Adjustments (Situational),,,,,,,,,
2320.CAS01,Claim Adjustment Group Code,Code identifying the general category of payment adjustment,R,"CO : Contractual Obligations
CR : Correction and Reversals
OA : Other adjustments
PI : Payor Initiated Reductions
PR : Patient Responsibility",,,,,
2320.CAS02,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS03,Monetary Amount,Monetary Amount,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS04,Quantity,Numeric value of quantity,S,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS05,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS06,Monetary Amount,Monetary Amount,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS07,Quantity,Numeric value of quantity,S,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS08,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS09,Monetary Amount,Monetary Amount,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS10,Quantity,Numeric value of quantity,S,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS11,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS12,Monetary Amount,Monetary Amount,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS13,Quantity,Numeric value of quantity,S,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS14,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS15,Monetary Amount,Monetary Amount,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS16,Quantity,Numeric value of quantity,S,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS17,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS18,Monetary Amount,Monetary Amount,R,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2320.CAS19,Quantity,Numeric value of quantity,S,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Segment - AMT Coordination of Benefits (COB) Payer Paid Amount (Situational),,,,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,D : Payor Amount Paid,,,,,
2320.AMT02,Monetary Amount,Monetary amount,R,,,,,,
Segment - AMT Remaining Patient Liability (Situational),,,,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,EAF Amount Owed,,,,,
2320.AMT02,Monetary Amount,Monetary amount,R,,,,,,
Segment - AMT Coordination of Benefits (COB) Total Non-covered Amount (Situational),,,,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,A8 : Noncovered Charges - Actual,,,,,
2320.AMT02,Monetary Amount,Monetary amount,R,,,,,,
Segment - OI Other Insurance Coverage Information (Required),,,,,,,,,
2320.OI03,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"N : No
W : Not Applicable
1563 Use code ‘W’ when the patient refuses to assign
benefits.
Y :  Yes",,,,,
2320.OI06,Release of Information Code,Code indicating whether the provider has on file a signed statement by the patient authorizing the release of medical data to other organizations,R,"I  : Informed Consent to Release Medical Information
for Conditions or Diagnoses Regulated by Federal
Statutes
488 Required when the provider has not collected a
signature AND state or federal laws do not require a
signature be collected.
Y : Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim
489 Required when the provider has collected a
signature.
OR
Required when state or federal laws require a
signature be collected.",,,,,
Segment - MIA Inpatient Adjudication Information (Situational),,,,,,,,,
2320.MIA01,Quantity,Numeric value of quantity,R,,,,,,
2320.MIA03,Quantity,Numeric value of quantity,S,,,,,,
2320.MIA04,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA05,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",S,,,,,,
2320.MIA06,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA07,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA08,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA09,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA10,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA11,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA12,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA13,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA14,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA15,Quantity,Numeric value of quantity,S,,,,,,
2320.MIA16,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA17,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA18,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA19,Monetary Amount,Monetary Amount,S,,,,,,
2320.MIA20,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,,
2320.MIA21,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,,
2320.MIA22,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,,
2320.MIA23,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,,
2320.MIA24,Monetary Amount,Monetary Amount,S,,,,,,
Segment - MOA Outpatient Adjudication Information (Situational),,,,,,,,,
2320.MOA01,Percentage as Decimal,"Percentage expressed as a decimal (e.g., 0.0 through 1.0 represents 0% through
100%)",S,,,,,,
2320.MOA02,Monetary Amount,Monetary Amount,S,,,,,,
2320.MOA03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,,
2320.MOA04,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,,
2320.MOA05,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,,
2320.MOA06,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,,
2320.MOA07,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,,
2320.MOA08,Monetary Amount,Monetary Amount,S,,,,,,
2320.MOA09,Monetary Amount,Monetary Amount,S,,,,,,
Loop 2330A(Situational),,,,,,,,,
Segment - NM1 Other Subscriber Name (Required),,,,,,,,,
2330A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,IL : Insured or Subscriber,,,,,
2330A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,,
2330A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
2330A.NM104,Name First,Individual first name,S,,,,,,
2330A.NM105,Name Middle,Individual middle name or initial,S,,,,,,
2330A.NM107,Name Suffix,Suffix to individual name,S,,,,,,
2330A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (",R,PI  : Payor Identification,,,,,
2330A.NM109,Identification Code,Code identifying a party or other code,R,,,,,,
Segment - N3 Other Subscriber Address (Situational),,,,,,,,,
2330A.N301,Address Information,Address Information,R,,,,,,
2330A.N302,Address Information,Address Information,S,,,,,,
Segment - N4 Other Subscriber City/State/ZIP Code (Situational),,,,,,,,,
2330A.N401,City Name,Free-form text for city name,R,,,,,,
2330A.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,
2330A.N403,Postal Code,"Code defining international postal zone code excluding punctuation and blanks
(zip code for United States)",S,,,,,,
,,,,,,,,,
2330A.N404,Country Code,Code identifying the country,S,,,,,,
2330A.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Segment - REF Other Subscriber Secondary Information (Situational),,,,,,,,,
2330A.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,,
2330A.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
Loop 2330B(Situational),,,,,,,,,
Segment - NM1 Other Payer Name (Required),,,,,,,,,
2330B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PR: Payer,,,,,
2330B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :  Non-Person Entity,,,,,
2330B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
2330B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,,,,,,
2330B.NM109,Identification Code,Code identifying a party or other code,R,,,,,,
Segment - N3 Other Payer Address (Situational),,,,,,,,,
2330B.N301,Address Information,Address Information,R,,,,,,
2330B.N302,Address Information,Address Information,S,,,,,,
Segment - N4 Other Payer City/State/ZIP Code (Situational),,,,,,,,,
2330B.N401,City Name,Free-form text for city name,R,,,,,,
2330B.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,
2330B.N403,Postal Code,"Code defining international postal zone code excluding punctuation and blanks
(zip code for United States)",S,,,,,,
2330B.N404,Country Code,Code identifying the country,S,,US,,,,
2330B.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Segment - DTP Claim Check or Remittance Date (Situational),,,,,,,,,
2330B.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,573 : Date Claim Paid,,,,,
2330B.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :Date Expressed in Format CCYYMMDD,,,,,
2330B.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
Segment - REF Other Payer Secondary Identifier (Situational),,,,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"2U: Payer Identification Number
EI: Employer’s Identification Number

FY: Claim Office Number
NF: National Association of Insurance Commissioners
(NAIC) Code",,,,,
2330B.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",,,,,
Segment - REF Other Payer Prior Authorization Number (Situational),,,,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1: Prior Authorization Number,,,,,
2330B.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
Segment - REF Other Payer Referral Number (Situational),,,,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F : Referral Number,,,,,
2330B.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
Segment - REF Other Payer Claim Adjustment Indicator (Situational),,,,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,T4 : Signal Code,,,,,
2330B.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
Segment - REF Other Payer Claim Control Number (Situational),,,,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F8 : Original Reference Number,,,,,
2330B.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
Loop 2330C (Situational),,,,,,,,,
Segment - NM1 Other Payer Attending Provider (Situational),,,,,,,,,
2330C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,71 : Attending Physician,,,,,
2330C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 :Person,,,,,
Segment - REF Other Payer Attending Provider Secondary Identification (Required),,,,,,,,,
