EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,CSV Field,Claim/Line Level Record,Mapping Logic
2300.HCP01,Pricing Methodology,"Code specifying pricing methodology at which the claim or line item has been
priced or repriced",R,,,,,
2300.HCP02,Monetary Amount,Repriced Allowed Amount,R,,,,,
2300.HCP03,Monetary Amount,Repriced Saving Amount,S,,,,,
2300.HCP04,Reference Identification,Repricing Organization Identifier,S,,,,,
2300.HCP05,Rate,Repricing Per Diem or Flat Rate Amount,S,,,,,
2300.HCP06,Reference Identification,Repriced Approved Ambulatory Patient Group Code,S,,,,,
2300.HCP07,Monetary Amount,Repriced Approved Ambulatory Patient Group Amount,S,,,,,
2300.HCP13,Reject Reason Code,Code assigned by issuer to identify reason for rejection,S,,,,,
2300.HCP14,Policy Compliance Code,Code specifying policy compliance,S,,,,,
2300.HCP15,Exception Code,Code specifying the exception reason for consideration of out-of-network health care services,S,,,,,
Loop 2310A  - REFERRING PROVIDER NAME (Situational)  Loop Repeat: 2,,,R,,,,,
NM1,Segment - NM1 Referring Provider Name (Situational),,R,,,,,
2310A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,"DN : Referring Provider
P3 : Primary Care Provider",,,,
2310A.NM102,Entity Type Qualifier,y,R,1 : Person,,,,
2310A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,`,Referring_Practitioner_Name,Claim Level,"when 2310A.NM101 = DN

Form this element by concatenating First Name and Last Name separated by space ( )

2310A.NM104  + 2310A.NM103"
,Name Last or Organization Name,Individual last name or organizational name,R,,,Referring_Practitioner_LastName,Claim Level,when 2310A.NM101 = DN
2310A.NM104,Name First,Individual first name,S,,,Referring_Practitioner_FirstName,Claim Level,when 2310A.NM101 = DN
2310A.NM105,Name Middle,Individual middle name or initial,S,,,Referring_Practitioner_MiddleName,Claim Level,when 2310A.NM101 = DN
2310A.NM107,Name Suffix,Suffix to individual name,S,,,Referring_Practitioner_Suffix,Claim Level,when 2310A.NM101 = DN
2310A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2310A.NM109,Identification Code,Referring Provider Identifier,S,,,Referring_npi,Claim Level,when 2310A.NM101 = DN
REF,Segment - REF Referring Provider Secondary Identification (Situational),,,,,,,
2310A.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,Referring_IdQualifier,Claim Level,
2310A.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Referring Provider Secondary Identifier",R,,,Referring_Practitioner_Identification,Claim Level,
Loop 2310B — RENDERING PROVIDER NAME Loop Repeat: 1 (Situational),,,,,,,,
NM1,Segment - NM1 Rendering Physician Name (Situational),,,,,,,
2310B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,82 : Rendering Provider,,,,
2310B.NM102,Entity Type Qualifier,"Code identifying an organizational entity, a physical location, property or an
individual",R,"1 : Person
2 : Non-Person Entity",,,,
2310B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2310B.NM104,Name First,Individual first name,S,,,,,
2310B.NM105,Name Middle,Individual middle name or initial,S,,,,,
2310B.NM107,Name Suffix,Suffix to individual name,S,,,,,
2310B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2310B.NM109,Identification Code,Code identifying a party or other code /Rendering Provider Identifier,S,,,,,
PRV,Segment - PRV Rendering Provider Specialty Information (Situational),,,,,,,
2310B.PRV01,Provider Code,Code identifying the type of provider,R,PE : Performing,,,,
2310B.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC : Health Care Provider Taxonomy Code,,,,
2310B.PRV03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier / Provider Taxonomy Code",R,,,,,
REF,Segment - REF Rendering Provider Secondary Identification (Situational),,,,,,,
2310B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU : Location Number",,,,
2310B.REF02,Reference Identification,Rendering Provider Secondary Identifier,R,,,,,
Loop 2310C — SERVICE FACILITY LOCATION NAME Loop Repeat: 1 (Situational),,,,,,,,
NM1,Segment - NM1 Service Facility Location Name (Situational),,,,,,,
2310C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,77 : Service Location,,,,
2310C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,
2310C.NM103,Name Last or Organization Name,Individual last name or organizational name /Laboratory or Facility Name,R,,,RenderingFacility_Name,Claim Level,
2310C.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2310C.NM109,Identification Code,Laboratory or Facility Primary Identifier,S,,,,,
N3,Segment - N3 Service Facility Location Address (Required),,,,,,,
2310C.N301,Address Information,Address information,R,,,RenderingFacility_StreetAddress,Claim Level,
2310C.N302,Address Information,Address information,S,,,,,
N4,"Segment - N4 Service Facility Location City, State, ZIP Code (Required)",,,,,,,
2310C.N401,City Name,Free-form text for city name,R,,,RenderingFacility_CityName,Claim Level,
2310C.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,RenderingFacility_StateCode,Claim Level,
2310C.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,RenderingFacility_PostalCode,Claim Level,
2310C.N404,Country Code,Code identifying the country,S,,,,,
2310C.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Service Facility Location Secondary Identification (Situational),,,,,,,
2310C.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
G2 : Provider Commercial Number
LU : Location Number",,,,
2310C.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/Laboratory or Facility Secondary Identifier",R,,,,,
PER,Segment - PER Service Facility Contact Information (Situational),,,,,,,
2310C.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC : Information Contact,,,,
2310C.PER02,Name,Name,S,,,,,
2310C.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,TE : Telephone,,,,
2310C.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,,,,
2310C.PER05,Communication Number Qualifier,Code identifying the type of communication number,R,EX :  Telephone Extension,,,,
2310C.PER06,Communication Number,"Complete communications number including country or area code when
applicable",S,,,,,
Loop 2310D — SUPERVISING PROVIDER NAME (Situational)   Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Supervising Provider Name (Situational),,,,,,,
2310D.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,DQ : Supervising Physician,,,,
2310D.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,
2310D.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2310D.NM104,Name First,Individual first name,S,,,,,
2310D.NM105,Name Middle,Individual middle name or initial,S,,,,,
2310D.NM107,Name Suffix,Suffix to individual name,S,,,,,
2310D.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,,,,,
2310D.NM109,Identification Code,Code identifying a party or other code /  Supervising Provider Identifier,S,,,,,
REF,Segment - REF Supervising Provider Secondary Identification (Situational),,,,,,,
2310D.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
G2 : Provider Commercial Number
LU : Location Number",,,,
2310D.REF02,Reference Identification,Supervising Provider Secondary Identifier,R,,,,,
Loop 2310E  - AMBULANCE PICK-UP LOCATION  (Situational)  Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Ambulance Pick-up Location (Situational),,,,,,,
2310E.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PW :  Pickup Address,,,,
2310E.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2  :  Non-Person Entity,,,,
N3,Segment - N3 Ambulance Pick-up Location Address (Required),,,,,,,
2310E.N301,Address Information,Ambulance Pick-up Address Line,R,,,,,
2310E.N302,Address Information,Ambulance Pick-up Address Line,S,,,,,
N4,"Segment - N4 Ambulance Pick-up Location City, State, ZIP Code (Required)",,,,,,,
2310E.N401,City Name,Free-form text for city name,R,,,,,
2310E.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2310E.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
,,,,,,,,
2310E.N404,Country Code,Code identifying the country,S,,,,,
2310E.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
Loop 2310F — AMBULANCE DROP-OFF LOCATION (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Ambulance Drop-off Location (Situational),,,,,,,
2310F.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,45 : Drop-off Location,,,,
2310F.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2  :  Non-Person Entity,,,,
2310F.NM103,Name Last or Organization Name,Ambulance Drop-off Location,S,,,,,
N3,Segment - N3 Ambulance Drop-off Location Address (Required),,,,,,,
2310F.N301,Address Information,Ambulance Drop-off Address Line,R,,,,,
2310F.N302,Address Information,Ambulance Drop-off Address Line,S,,,,,
N4,"Segment - N4 Ambulance Drop-off Location City, State, ZIP Code (Required)",,,,,,,
2310F.N401,City Name,Free-form text for city name,R,,,,,
2310F.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2310F.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2310F.N404,Country Code,Code identifying the country,S,,,,,
2310F.N407,Country Subdivision Code,Code identifying the country subdivision,,,,,,
Loop 2320 — OTHER SUBSCRIBER INFORMATION(Situational) Loop Repeat: 10,,,S,,,,,
SBR,Segment - SBR Other Subscriber Information (Situational),,,,,,,
2320.SBR01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim",R,"P : Primary
S : Secondary
T : Tertiary",,,,
2320.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,"01 Spouse
18 Self
19 Child
20 Employee
21 Unknown
39 Organ Donor
40 Cadaver Donor
53 Life Partner
G8 Other Relationship",,,,
2320.SBR03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/Insured Group or Policy Number",S,,,,,
2320.SBR04,Name,Other Insured Group Name,S,,,,,
2320.SBR05,Insurance Type Code,Code identifying the type of insurance policy within a specific insurance program,S,,,,,
2320.SBR09,Claim Filing Indicator Code,Code identifying type of claim,S,,"MB :Medicare Part B
MA: Medicare Part A
MC: Medicaid",,,
CAS,Segment - CAS Claim Level Adjustments (Situational),,,,,,,
2320.CAS01,Claim Adjustment Group Code,Code identifying the general category of payment adjustment,R,"CO : Contractual Obligations
CR : Correction and Reversals
OA : Other adjustments
PI : Payor Initiated Reductions
PR : Patient Responsibility",,,,
2320.CAS02,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS03,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS04,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS05,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS06,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS07,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS08,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS09,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS10,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS11,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS12,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS13,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS14,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS15,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS16,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS17,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS18,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2320.CAS19,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
AMT,Segment - AMT Coordination of Benefits (COB) Payer Paid Amount (Situational),,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,D : Payor Amount Paid,,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,,,
AMT,Segment - AMT Remaining Patient Liability (Situational),,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,EAF :  Amount Owed,,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,,,
AMT,Segment - AMT Coordination of Benefits (COB) Total Non-covered Amount (Situational),,,,,,,
2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,A8 :  Noncovered Charges - Actual,,,,
2320.AMT02,Monetary Amount,Monetary Amount,R,,,,,
OI,Segment - OI Other Insurance Coverage Information (Required),,,,,,,
2320.OI03,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response/Benefits Assignment Certification Indicator,R,"N : No
W : Not Applicable
Use code ‘W’ when the patient refuses to assign
benefits.
Y :  Yes",,,,
2320.OI04,Patient Signature Source Code,"Code indicating how the patient or subscriber authorization signatures were
obtained and how they are being retained by the provider",S,,,,,
2320.OI06,Release of Information Code,Code indicating whether the provider has on file a signed statement by the patient authorizing the release of medical data to other organizations,R,"I  : Informed Consent to Release Medical Information
Y : Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim",,,,
MOA,Segment - MOA Outpatient Adjudication Information (Situational),,,,,,,
2320.MOA01,Percentage as Decimal,"Percentage expressed as a decimal (e.g., 0.0 through 1.0 represents 0% through
100%)",S,,,,,
2320.MOA02,Monetary Amount,Monetary amount,S,,,,,
2320.MOA03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA04,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA05,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA06,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA07,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /  Claim Payment Remark Code",S,,,,,
2320.MOA08,Monetary Amount,Monetary Amount/End Stage Renal Disease Payment Amount,S,,,,,
2320.MOA09,Monetary Amount,"Monetary Amount/ Non-Payable Professional Component Billed
Amount",S,,,,,
Loop 2330A —  OTHER SUBSCRIBER NAME (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Subscriber Name (Required),,,,,,,
2330A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,IL : Insured or Subscriber,,,,
2330A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,
2330A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2330A.NM104,Name First,Individual first name,S,,,,,
2330A.NM105,Name Middle,Individual middle name or initial,S,,,,,
2330A.NM107,Name Suffix,Suffix to individual name,S,E,,,,
2330A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,"II : Standard Unique Health Identifier for each Individual
in the United States
MI :Member Identification Number",,,,
2330A.NM109,Identification Code,Code identifying a party or other code,R,,,,,
N3,Segment - N3 Other Subscriber Address (Situational),,,,,,,
2330A.N301,Address Information,Address Information,R,,,,,
2330A.N302,Address Information,Address Information,S,,,,,
N4,Segment - N4 Other Subscriber City/State/ZIP Code (Situational),,,,,,,
2330A.N401,City Name,Free-form text for city name,R,,,,,
2330A.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2330A.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2330A.N404,Country Code,Code identifying the country,S,,,,,
2330A.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Other Subscriber Secondary Information (Situational),,,,,,,
2330A.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,SY :  Social Security Number,,,,
2330A.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier / Other Insured Additional Identifier",R,,,,,
Loop 2330B — OTHER PAYER NAME (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Payer Name (Required),,,,,,,
2330B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PR : Payer,,,,
2330B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :  Non-Person Entity,,,,
2330B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2330B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",R,"PI :  Payor Identification
XV : Centers for Medicare and Medicaid Services PlanID",,,,
2330B.NM109,Identification Code,Code identifying a party or other code,R,,,,,
N3,Segment - N3 Other Payer Address (Situational),,,,,,,
2330B.N301,Address Information,Address Information,R,,,,,
2330B.N302,Address Information,Address Information,S,,,,,
N4,Segment - N4 Other Payer City/State/ZIP Code (Situational),,,,,,,
2330B.N401,City Name,Free-form text for city name,R,,,,,
2330B.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2330B.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2330B.N404,Country Code,Code identifying the country,S,,,,,
2330B.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
DTP,Segment - DTP Claim Check or Remittance Date (Situational),,,,,,,
2330B.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,573 : Date Claim Paid,,,,
2330B.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2330B.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,20210305,,,
REF,Segment - REF Other Payer Secondary Identifier (Situational),,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"2U : Payer Identification Number
EI : Employer’s Identification Number
FY : Claim Office Number
NF : National Association of Insurance Commissioners
(NAIC) Code",,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/Other Payer Secondary Identifier",R,,22105302412107COA,,,
REF,Segment - REF Other Payer Prior Authorization Number (Situational),,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1 : Prior Authorization Number,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Other Payer Prior Authorization Number",R,,,,,
REF,Segment - REF Other Payer Referral Number (Situational),,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F :  Referral Number,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/  Other Payer Prior Authorization or Referral
Number",R,,,,,
REF,Segment - REF Other Payer Claim Adjustment Indicator (Situational),,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,T4 : Signal Code,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ : Other Payer Claim Adjustment Indicator",R,,,,,
REF,Segment - REF Other Payer Claim Control Number (Situational),,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F8 : Original Reference Number,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ : Other Payer’s Claim Control Number",R,,,,,
Loop 2330C — OTHER PAYER REFERRING PROVIDER (Situational)  Loop Repeat: 2,,,,,,,,
NM1,Segment - NM1 Other Payer Referring Provider (Situational),,,,,,,
2330C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,"DN : Referring Provider
P3 : Primary Care Provider",,,,
2330C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,
REF,Segment - REF Other Payer Referring Provider Secondary Identification (Required),,,,,,,
2330C.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,
2330C.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier  /Other Payer Referring Provider Identifier,R,,,,,
Loop 2330D — OTHER PAYER RENDERING PROVIDER (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Payer Rendering Provider (Situational),,,,,,,
2330D.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,82 :Other Payer Referring Provider Identifier,,,,
2330D.NM102,Entity Type Qualifier,Code qualifying the type of entity /Other Payer Referring Provider Identifier,R,"1 :Person
2 :Non-Person Entity",,,,
REF,Segment - REF Other Payer Rendering Provider Secondary Identification (Required),,,,,,,
2330D.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B :State License Number
1G :Provider UPIN Number
G2 :Provider Commercial Number
LU :Location Number",,,,
2330D.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier /Other Payer Referring Provider Identifier,R,,,,,
Loop 2330E — OTHER PAYER SERVICE FACILITY LOCATION (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Payer Service Facility Location (Situational),,,,,,,
2330E.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,77 : Service Location,,,,
2330E.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :Non-Person Entity,,,,
REF,Segment - REF Other Payer Service Facility Location Secondary Identification (Required),,,,,,,
2330E.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
G2 : Provider Commercial Number
LU : Location Number",,,,
2330E.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier /Other Payer Service Facility Location Secondary
Identifie",R,,,,,
Loop 2330F  — OTHER PAYER SUPERVISING PROVIDER (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Payer Supervising Provider (Situational),,,,,,,
2330F.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,DQ : Supervising Physician,,,,
2330F.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,
REF,Segment - REF Other Payer Supervising Provider Secondary Identification (Required),,,,,,,
2330F.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU : Location Number",,,,
2330F.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Other Payer Supervising Provider Identifier",R,,,,,
Loop 2330G — OTHER PAYER BILLING PROVIDER  (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Other Payer Billing Provider (Situational),,,,,,,
2330G.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 : Billing Provider,,,,
2330G.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,
REF,Segment - REF Other Payer Billing Provider Secondary Identification (Required),,,,,,,
2330G.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"G2 : Provider Commercial Number
LU : Location Number",,,,
2330G.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Other Payer Billing Provider Identifier",R,,,,,
Loop 2400  — SERVICE LINE NUMBER(Required) Loop Repeat: 50,,,,,,,,
LX,Segment - LX Service Line Number (Required),,,,,,,
2400.LX01,Assigned Number,Number assigned for differentiation within a transaction set,R,,,Number_of_service_lines,Claim Level,Total no of lines in the claim
,,,,,,Original_Line_Number,Line Level,
SV1,Segment - SV1 Professional Service (Required),,,,,,,
2400.SV101.01,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID (234)",R,"HC  :  Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
ER : Jurisdiction Specific Procedure and Supply Codes
IV :Home Infusion EDI Coalition (HIEC) Product/Service
Code
WK :Advanced Billing Concepts (ABC) Codes",,,,
,Product/Service ID,identifying number for a product or service,R,,90837,Service_Line_ServiceCode,Line Level,
2400.SV101.03,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,HE,Service_Line_Modifier_1,Line Level,
2400.SV101.04,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,GT,Service_Line_Modifier_2,Line Level,
2400.SV101.05,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,GT,Service_Line_Modifier_3,Line Level,
2400.SV101.06,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,GT,Service_Line_Modifier_4,Line Level,
2400.SV101.07,Description,A free-form description to clarify the related data elements and their content,S,,,,,
2400.SV102,Monetary Amount,Monetary Amount,R,,233.19,Service_Line_ServiceFee,Line Level,
2400.SV103,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",R,"UN : Unit
MJ : Minutes",,,,
2400.SV104,Quantity,Numeric value of quantity,R,,,Service_Line_ServiceUnitCount,Line Level,when 2400.SV103 = UN
,,,,,,Service_Line_ServiceMinuteCount,Line Level,when 2400.SV103 = MJ
2400.SV105,Facility Code Value,"Code identifying where services were, or may be, performed; the first and second positions of the Uniform Bill Type Code for Institutional Services or the Place of Service Codes for Professional or Dental Services.",S,,,Service_Line_POS,Line Level,
2400.SV107.01,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,R,,,Diagnosis_Code_Pointer_1,Line Level,
