̥,Element Name,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic,Notes/Comments
2300.HI07.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI08.01,Code List Qualifier Code,R,,ABF,,,
2300.HI08.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI08.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI09.01,Code List Qualifier Code,R,,ABF,,,
2300.HI09.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI09.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI10.01,Code List Qualifier Code,R,,ABF,,,
2300.HI10.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI10.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI11.01,Code List Qualifier Code,R,,ABF,,,
2300.HI11.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI11.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI12.01,Code List Qualifier Code,R,,ABF,,,
2300.HI12.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI12.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
,Segment - HI Principal Procedure Information (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,"BBR International Classification of Diseases Clinical
Modification (ICD-10-PCS) Principal Procedure
Codes",BBR,,,
2300.HI01.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/principalProcedure/procedureCode,,
2300.HI01.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,"Remove ""-"" in date and populate"
2300.HI01.04,Date Time Period,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/principalProcedure/procedureDate,,
,Segment - HI Other Procedure Information (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI01.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI01.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI01.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
2300.HI02.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI02.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI02.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI02.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
2300.HI03.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI03.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI03.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI03.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
2300.HI04.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI04.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI04.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI04.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
2300.HI05.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI05.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI05.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI05.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
2300.HI06.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI06.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI06.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI06.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
2300.HI07.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI07.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI07.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI07.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
2300.HI08.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI08.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI08.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI08.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
2300.HI09.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI09.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI09.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI09.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
2300.HI10.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI10.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI10.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI10.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
2300.HI11.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI11.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI11.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI11.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
2300.HI12.01,Code List Qualifier Code,R,BBQ- ICD10CM,BBQ,,,
2300.HI12.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode,,
2300.HI12.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI12.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate,,
,Segment - HI Occurrence Span Information (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI01.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI01.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI01.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
2300.HI02.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI02.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI02.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI02.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
2300.HI03.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI03.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI03.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI03.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
2300.HI04.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI04.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI04.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI04.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
2300.HI05.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI05.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI05.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI05.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
2300.HI06.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI06.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI06.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI06.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
2300.HI07.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI07.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI07.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI07.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
2300.HI08.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI08.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI08.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI08.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
2300.HI09.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI09.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI09.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI09.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
2300.HI10.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI10.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI10.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI10.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
2300.HI11.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI11.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI11.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI11.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
2300.HI12.01,Code List Qualifier Code,R,BI - ICD10CM,BI,,,
2300.HI12.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/occurrenceCode,,
2300.HI12.03,Date Time Period Format Qualifier,R,RD8- Date Expressed In CCYYMMDD - CCYYMMDD.,RD8,,,
2300.HI12.04,Date Time Period,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prStartDate + ""-"" + getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceSpan/occurrenceCode/prEndDate",,
,Segment - HI Occurrence Information (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI01.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI01.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI01.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
2300.HI02.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI02.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI02.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI02.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
2300.HI03.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI03.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI03.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI03.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
2300.HI04.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI04.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI04.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI04.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
2300.HI05.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI05.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI05.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI05.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
2300.HI06.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI06.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI06.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI06.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
2300.HI07.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI07.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI07.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI07.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
2300.HI08.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI08.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI08.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI08.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
2300.HI09.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI09.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI09.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI09.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
2300.HI10.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI10.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI10.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI10.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
2300.HI11.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI11.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI11.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI11.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
2300.HI12.01,Code List Qualifier Code,R,BH - ICD10CM,BH,,,
2300.HI12.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/occurrenceCode,,
2300.HI12.03,Date Time Period Format Qualifier,R,D8- Date Expressed In CCYYMMDD.,D8,,,
2300.HI12.04,Date Time Period,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prOccurrenceCode/occurrenceCode/prStartDate,,
,Segment - HI Value Information (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI01.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
2300.HI01.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
2300.HI02.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI02.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
2300.HI02.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
2300.HI03.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI03.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
